Curriculum,Bioinformatics
Degree Plan,Bioinformatics/ Revelle
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1103
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
5,BILD 1,BILD,1,2,,,4,,,2
7,CHEM 6C,CHEM,6C,4,,,4,,,3
6,MATH 20C,MATH,20C,3,,,4,,,3
8,CHEM 7LM,CHEM,7LM,4,,,4,,,3
9,BILD 94,BILD,94,,,,1,,,3
10,PHYS 2A,PHYS,2A,1,,,4,,,4
11,CSE 11,CSE,11,,,,4,,,4
12,BILD 2,BILD,2,5,,,4,,,4
13,PHYS 2B,PHYS,2B,10;3,,,4,,,5
14,CSE 12,CSE,12,11,,,4,,,5
15,CHEM 140A,CHEM,140A,4,,,4,,,5
17,CHEM 109,CHEM,109,,,,6,,,6
18,CSE 21 / MATH 15B,CSE,21,,,,4,,,6
16,CHEM 140B,CHEM,140B,15,,,4,,,6
22,MATH 20F,MATH,20F,,,,4,,,7
20,CSE 100 / MATH 176,CSE,100,18;14,,,4,,,7
21,BICD 100,BICD,100,5,,,4,,,7
19,CHEM 114A / 140C,CHEM,114A,15,,,4,,,7
24,CSE 101 / MATH 188,CSE,101,14;18;20,,,4,,,8
26,CHEM 114D,CHEM,114D,,,,4,,,8
25,MATH 186,MATH,186,6,,,4,,,8
23,CHEM 114B,CHEM,114B,19;16,,,4,,,8
40,CHEM ELECTIVE 1,,,,,,4,,,9
28,BIMM 181 / BENG 181 / CSE 181,BIMM,181,20;24,,,4,,,9
27,BICD 110,BICD,110,,,,4,,,9
29,CHEM 182 / BIMM 182 / BENG 182 / CSE 182,CHEM,182,20,,,4,,,10
30,BENG 183,BENG,183,27,,,4,,,10
31,CHEM 127,CHEM,127,7;6,,,4,,,10
33,CHEM 108,CHEM,108,19,,,6,,,11
32,CHEM 184 / BIMM 184 / BENG 184 / CSE 184,CHEM,184,28;29,,,4,,,11
34,BIMM 185,BIMM,185,28;28;28;28;28;28;28;28;28;30,,,4,,,12
41,CHEM ELECTIVE 2,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
42,SOCIAL SCIENCE / DEI,,,,,,4,,,1
43,FINE ARTS,,,,,,4,,,1
35,HUM 1,HUM,1,,,,6,,,2
36,HUM 2,HUM,2,,,,6,,,3
37,HUM 3,HUM,3,,,,4,,,4
38,HUM 4,HUM,4,,,,4,,,5
39,HUM 5,HUM,5,,,,4,,,6
44,LANGUAGE 1,,,,,,5,,,7
45,LANGUAGE 2,,,,,,5,,,8
46,LANGUAGE 3,,,,,,5,,,9
47,LANGUAGE 4,,,,,,5,,,10
48,SOCIAL SCIENCE,,,,,,4,,,11
