Curriculum,Communication,,,,,,,,,
Degree Plan,Communication/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,09.0100,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,COMM 10,COMM,10,,,,4,,,4
2,COMM 100B,COMM,100B,1,,,4,,,5
3,COMM 100C,COMM,100C,1,,,4,,,6
4,COMM 100A,COMM,100A,1,,,4,,,7
19,COMM ELECTIVE 1,,,,,,4,,,7
5,COMM 190,COMM,190,1;2,,,4,,,8
20,COMM ELECTIVE 2,,,,,,4,,,8
21,COMM ELECTIVE 3,,,,,,4,,,9
22,COMM ELECTIVE 4,,,,,,4,,,9
23,COMM ELECTIVE 5,,,,,,4,,,10
24,COMM ELECTIVE 6,,,,,,4,,,10
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,MATH 10A,MATH,10A,,,,4,,,1
25,SOCIAL SCIENCE / DEI,,,,,,4,,,1
26,LANGUAGE 1,,,,,,5,,,1
7,MATH 10B,MATH,10B,6,,,4,,,2
8,HUM 1,HUM,1,,,,6,,,2
27,LANGUAGE 2,,,,,,5,,,2
9,MATH 10C,MATH,10C,7,,,4,,,3
10,HUM 2,HUM,2,,,,6,,,3
28,LANGUAGE 3,,,,,,5,,,3
11,HUM 3,HUM,3,,,,4,,,4
29,LANGUAGE 4,,,,,,5,,,4
12,HUM 4,HUM,4,,,,4,,,5
13,PHYS 10,PHYS,10,,,,4,,,5
30,ELECTIVE 1,,,,,,4,,,5
14,HUM 5,HUM,5,,,,4,,,6
15,BILD 7 / 10,BILD,7,,,,4,,,6
31,ELECTIVE 2,,,,,,4,,,6
16,CHEM 11,CHEM,11,,,,4,,,7
32,ELECTIVE 3,,,,,,4,,,7
17,CHEM 12,CHEM,12,,,,4,,,8
33,ELECTIVE 4,,,,,,4,,,8
18,CHEM 13,CHEM,13,17,,,4,,,9
34,ELECTIVE 5,,,,,,4,,,9
35,SOCIAL SCIENCE,,,,,,4,,,10
36,ELECTIVE 6,,,,,,4,,,10
37,COMM ELECTIVE 7,,,,,,4,,,11
38,FINE ARTS,,,,,,4,,,11
39,ELECTIVE 7,,,,,,4,,,11
40,ELECTIVE 8,,,,,,4,,,11
41,COMM ELECTIVE 8,,,,,,4,,,12
42,ELECTIVE 9,,,,,,4,,,12
43,ELECTIVE 10,,,,,,4,,,12
44,ELECTIVE 11,,,,,,4,,,12
