Curriculum,Russian Literature
Degree Plan,Russian Literature/ Muir
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.0402
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTRU 1A,LTRU,1A,,,,5,,,1
2,LTRU 1B,LTRU,1B,,,,5,,,2
3,LTRU 1C,LTRU,1C,,,,5,,,3
4,LTRU 2A,LTRU,2A,,,,5,,,4
5,LTRU 2B,LTRU,2B,,,,5,,,5
13,LD LTEN 1,,,,,,4,,,5
6,LTRU 2C,LTRU,2C,,,,5,,,6
14,LD LTEN 2,,,,,,4,,,6
7,LTRU 104A,LTRU,104A,,,,4,,,7
15,UD LTEN,,,,,,4,,,7
8,LTRU 104B,LTRU,104B,7,,,4,,,8
16,UD LTRU 1,,,,,,4,,,8
9,LTRU 104C,LTRU,104C,,,,4,,,9
17,UD LTRU 2,,,,,,4,,,9
10,LTRU 110A,LTRU,110A,,,,4,,,10
18,UD LTRU 3,,,,,,4,,,10
19,UD LTRU 4,,,,,,4,,,11
11,LTRU 110B,LTRU,110B,,,,4,,,11
12,LTRU 110C,LTRU,110C,,,,4,,,12
20,UD LTRU 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
21,GE / WRITING 1,,,,,,4,,,1
22,GE 1,,,,,,4,,,1
23,GE 2,,,,,,4,,,1
24,GE / WRITING 2,,,,,,4,,,2
25,GE 3,,,,,,4,,,2
26,GE 4,,,,,,4,,,2
27,DEI,,,,,,4,,,3
28,GE 5,,,,,,4,,,3
29,GE 6,,,,,,4,,,3
30,GE 7,,,,,,4,,,4
31,GE 8,,,,,,4,,,4
32,ELECTIVE 1,,,,,,4,,,4
33,GE 9,,,,,,4,,,5
34,ELECTIVE 2,,,,,,4,,,5
35,ELECTIVE 3,,,,,,4,,,6
36,ELECTIVE 4,,,,,,4,,,6
37,MUIR UDE 1,,,,,,4,,,7
38,ELECTIVE 5,,,,,,4,,,7
39,MUIR UDE 2,,,,,,4,,,8
40,ELECTIVE 6,,,,,,2,,,8
41,MUIR UDE 3,,,,,,4,,,9
42,ELECTIVE 7,,,,,,4,,,10
43,ELECTIVE 8,,,,,,4,,,11
44,ELECTIVE 9,,,,,,4,,,12
