Curriculum,Mathematics-Computer Science,,,,,,,,,
Degree Plan,Mathematics-Computer Science/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CSE 11,CSE,11,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
6,CSE 15L,CSE,15L,2,,,2,,,3
4,MATH 20C,MATH,20C,3,,,4,,,3
5,CSE 12,CSE,12,2,,,4,,,3
7,MATH 20F,MATH,20F,,,,4,,,4
8,CSE 30,CSE,30,5;6,,,4,,,5
9,MATH 20D,MATH,20D,4,,,4,,,5
10,MATH 20E,MATH,20E,4,,,4,,,6
11,MATH 109,MATH,109,7,,,4,,,6
16,UD MAJOR 1,,,,,,4,,,7
17,UD MAJOR 2,,,,,,4,,,7
18,UD MAJOR 3,,,,,,4,,,8
19,UD MAJOR 4,,,,,,4,,,8
20,UD MAJOR 5,,,,,,4,,,8
21,UD MAJOR 6,,,,,,4,,,9
22,UD MAJOR 7,,,,,,4,,,9
23,UD MAJOR 8,,,,,,4,,,10
24,UD MAJOR 9,,,,,,4,,,10
25,UD MAJOR 10,,,,,,4,,,11
26,UD MAJOR 11,,,,,,4,,,11
27,UD MAJOR 12,,,,,,4,,,12
28,UD MAJOR 13,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,CAT 1,CAT,1,,,,4,,,1
29,GE 1,,,,,,4,,,1
13,CAT 2,CAT,2,12,,,6,,,2
30,GE 2,,,,,,4,,,2
14,CAT 3,CAT,3,13,,,6,,,3
31,DEI / GE,,,,,,4,,,4
32,GE 3,,,,,,4,,,4
33,ELECTIVE 1,,,,,,4,,,4
34,GE 4,,,,,,4,,,5
35,GE 5,,,,,,4,,,5
36,GE 6,,,,,,4,,,6
37,ELECTIVE 2,,,,,,4,,,6
38,GE 7,,,,,,4,,,7
39,ELECTIVE 3,,,,,,4,,,7
40,ELECTIVE 4,,,,,,4,,,8
41,ELECTIVE 5,,,,,,4,,,9
42,ELECTIVE 6,,,,,,4,,,9
15,CAT 125,CAT,125,,,,4,,,10
43,ELECTIVE 7,,,,,,2,,,10
44,GE 8,,,,,,4,,,11
45,ELECTIVE 8,,,,,,4,,,12
