Curriculum,Music Humanities
Degree Plan,Music Humanities/ Sixth
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,50.0999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MUSIC 1A / 2A,,,,,,4,,,1
6,MUSIC 143 1,,,,,,1,,,1
7,MUSIC 1B / 2B,,,,,,4,,,2
8,MUSIC 143 2,,,,,,1,,,2
9,MUSIC 1C / 2C,,,,,,4,,,3
10,MUSIC 143 3,,,,,,1,,,3
11,MUSIC 120A,,,,,,4,,,4
12,MUSIC 143 4,,,,,,1,,,4
13,MUSIC 120B,,,,,,4,,,5
14,MUSIC 143 5,,,,,,1,,,5
15,MUSIC 120C,,,,,,4,,,6
16,MUSIC 143 6,,,,,,1,,,6
17,MUSIC UD ELECTIVE 1,,,,,,4,,,6
18,MUSIC UD HUMANITIES / FINE ARTS 1,,,,,,4,,,7
19,MUSIC 143 7,,,,,,1,,,7
20,MUSIC UD ELECTIVE 2,,,,,,4,,,7
21,MUSIC UD HUMANITIES / FINE ARTS 2,,,,,,4,,,8
22,MUSIC 143 8,,,,,,1,,,8
23,MUSIC UD HUMANITIES / FINE ARTS 3,,,,,,4,,,9
24,MUSIC 143 9,,,,,,1,,,9
25,"MUSIC UD ELECTIVE 107, 110, 116 / 150",,,,,,4,,,9
26,MUSIC UD HUMANITIES / FINE ARTS 4,,,,,,4,,,10
27,MUSIC 143 10,,,,,,1,,,10
28,MUSIC UD HUMANITIES / FINE ARTS 5,,,,,,4,,,11
29,MUSIC 143 11,,,,,,1,,,11
30,MUSIC UD HUMANITIES / FINE ARTS 6,,,,,,4,,,12
31,MUSIC 143 12,,,,,,1,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CAT 1,CAT,1,,,,4,,,1
32,GE 1,,,,,,4,,,1
2,CAT 2,CAT,2,1,,,6,,,2
33,GE 2,,,,,,4,,,2
3,CAT 3,CAT,3,2,,,6,,,3
34,GE 3,,,,,,4,,,3
35,DEI / GE,,,,,,4,,,4
36,GE 4,,,,,,4,,,4
37,ELECTIVE 1,,,,,,4,,,4
38,GE 5,,,,,,4,,,5
39,GE 6,,,,,,4,,,5
40,"ELECTIVE (2, 3 / 4 UNITS)",,,,,,4,,,5
41,GE 7,,,,,,4,,,6
42,ELECTIVE 2,,,,,,4,,,6
43,GE 8,,,,,,4,,,7
44,ELECTIVE 3,,,,,,4,,,7
45,ELECTIVE 4,,,,,,4,,,8
46,ELECTIVE 5,,,,,,4,,,8
4,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,9
47,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,10
48,ELECTIVE 6,,,,,,4,,,10
49,ELECTIVE 7,,,,,,4,,,10
50,ELECTIVE 8,,,,,,4,,,11
51,ELECTIVE 9,,,,,,4,,,11
52,ELECTIVE 10,,,,,,4,,,12
53,ELECTIVE 11,,,,,,4,,,12
54,ELECTIVE 12,,,,,,2,,,12
