Curriculum,Physics with Specialization in Earth Science
Degree Plan,Physics with Specialization in Earth Science/ Marshall
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,40.0899
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,PHYS 4A,PHYS,4A,1,,,4,,,2
4,MATH 20B,MATH,20B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,PHYS 4B,PHYS,4B,3;4,,,4,,,3
7,MATH 20C,MATH,20C,4,,,4,,,3
8,CHEM 7L,CHEM,7L,5,,,4,,,3
9,PHYS 4C,PHYS,4C,3;6;7,,,4,,,4
10,MATH 20E,MATH,20E,7,,,4,,,4
11,PHYS 4D,PHYS,4D,3;6;9;10,,,4,,,5
12,PHYS 2CL,PHYS,2CL,9;3,,,2,,,5
13,MATH 20D,MATH,20D,7,,,4,,,5
14,PHYS 4E,PHYS,4E,3;6;9;11;10;13,,,4,,,6
15,PHYS 2DL,PHYS,2DL,12,,,2,,,6
16,MATH 20F,MATH,20F,7,,,4,,,6
17,PHYS 100A,PHYS,100A,3;9;6;11;1;4;7;13;10;16,,,4,,,7
18,PHYS 105A,PHYS,105A,9;6;11;14;1;4;7;13;10;16,,,4,,,7
19,PHYS 110A,PHYS,110A,3;9;6;11;1;4;7;13;10;16,,,4,,,7
20,SIO 50,SIO,50,,,,6,,,7
21,PHYS 100B,PHYS,100B,17;18;1;4;7;13;10;16,,,4,,,8
22,PHYS 110B,PHYS,110B,18;19;1;4;7;13;10;16,,,4,,,8
23,SIO 102,SIO,102,20;2;5,,,4,,,8
24,PHYS 120,PHYS,120,3;9;6;12,,,5,,,9
25,PHYS 130A,PHYS,130A,21;19,,,4,,,9
26,PHYS 140A,PHYS,140A,25,,,4,,,10
32,PHYS RE 1,,,,,,4,,,10
27,SIO 103,SIO,103,1;4;7;13;20,,,4,,,10
33,PHYS ELECTIVE 1,,,,,,4,,,11
34,PHYS RE 2,,,,,,4,,,11
28,SIO 120,SIO,120,20,,,4,,,11
35,PHYS ELECTIVE 2,,,,,,4,,,12
36,PHYS RE 3,,,,,,4,,,12
37,PHYS UD LAB,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
29,DOC 1 / DEI,DOC,1,,,,4,,,1
38,GE 1,,,,,,4,,,1
30,DOC 2,DOC,2,29,,,6,,,2
31,DOC 3,DOC,3,,,,6,,,3
39,GE 2,,,,,,4,,,4
40,GE 3,,,,,,4,,,4
41,GE 4,,,,,,4,,,5
42,GE 5,,,,,,4,,,6
43,GE 6,,,,,,4,,,8
44,UD GE 1,,,,,,4,,,9
45,UD GE 2,,,,,,4,,,10
