Curriculum,"Russian, East European and Eurasian Studies"
Degree Plan,"Russian, East European and Eurasian Studies/ Revelle"
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0105
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTRU 1A,LTRU,1A,,,,5,,,1
2,LTRU 1B,LTRU,1B,,,,5,,,2
3,LTRU 1C,LTRU,1C,,,,5,,,3
4,LTRU 2A,LTRU,2A,,,,5,,,4
5,LTRU 2B,LTRU,2B,,,,5,,,5
6,LTRU 2C,LTRU,2C,,,,5,,,6
8,LTRU 104A,LTRU,104A,,,,4,,,7
7,HIEU 134,HIEU,134,,,,4,,,7
10,LTRU 104B,LTRU,104B,8,,,4,,,8
9,HIEU 156,HIEU,156,17,,,4,,,8
11,LTRU 104C,LTRU,104C,,,,4,,,9
28,SOCIAL SCI ELECTIVE 1,,,,,,4,,,9
12,LTRU 110A,LTRU,110A,,,,4,,,10
29,SOCIAL SCI ELECTIVE 2,,,,,,4,,,10
30,REEES UD ELECTIVE 1,,,,,,4,,,11
13,LTRU 110B,LTRU,110B,,,,4,,,11
31,REEES UD ELECTIVE 2,,,,,,4,,,12
14,LTRU 110C,LTRU,110C,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,MATH 10A,MATH,10A,,,,4,,,1
32,FINE ARTS,,,,,,4,,,1
16,MATH 10B,MATH,10B,15,,,4,,,2
17,HUM 1,HUM,1,,,,6,,,2
18,MATH 10C,MATH,10C,16,,,4,,,3
19,HUM 2,HUM,2,,,,6,,,3
20,CHEM 11,CHEM,11,,,,4,,,4
21,HUM 3,HUM,3,,,,4,,,4
33,ELECTIVE 1,,,,,,4,,,5
22,CHEM 12,CHEM,12,,,,4,,,5
23,HUM 4,HUM,4,,,,4,,,5
34,ELECTIVE 2,,,,,,4,,,6
24,CHEM 13,CHEM,13,22,,,4,,,6
25,HUM 5,HUM,5,,,,4,,,6
35,ELECTIVE 3,,,,,,4,,,7
36,DEI / SOCIAL SCIENCE,,,,,,4,,,7
37,ELECTIVE 4,,,,,,4,,,8
26,PHYS 10,PHYS,10,,,,4,,,8
38,ELECTIVE 5,,,,,,4,,,9
27,BILD 7 / 10,BILD,7,,,,4,,,9
39,SOCIAL SCIENCE (REVELLE),,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,ELECTIVE 7,,,,,,4,,,11
42,ELECTIVE 8,,,,,,4,,,11
43,ELECTIVE 9,,,,,,4,,,12
44,ELECTIVE 10,,,,,,2,,,12
