Curriculum,Visual Arts (Art History/Criticism)
Degree Plan,Visual Arts (Art History/Criticism)/ Sixth
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,50.0703
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,VIS 20,VIS,20,,,,4,,,1
2,VIS 23,VIS,23,,,,4,,,1
3,VIS 21A / 21B,VIS,21A,,,,4,,,2
4,VIS 22,VIS,22,,,,4,,,2
11,ART MAKING OPTION,,,,,,4,,,3
12,GROUP II (A - F) 1,,,,,,4,,,4
5,VIS 111,VIS,111,,,,4,,,5
6,VIS 112,VIS,112,,,,4,,,5
13,GROUP II (A - F) 2,,,,,,4,,,6
14,GROUP II (A - F) 3,,,,,,4,,,7
15,GROUP II (A - F) 4,,,,,,4,,,8
16,GROUP II (A - F) 5,,,,,,4,,,9
17,GROUP II (A - F) 6,,,,,,4,,,10
18,GROUP III 1,,,,,,4,,,10
19,GROUP III 2,,,,,,4,,,11
20,GROUP III 3,,,,,,4,,,11
21,GROUP III 4,,,,,,4,,,12
22,GROUP III 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,CAT 1,CAT,1,,,,4,,,1
8,CAT 2,CAT,2,7,,,6,,,2
9,CAT 3,CAT,3,8,,,6,,,3
23,ELECTIVE 1,,,,,,4,,,3
24,GE 1,,,,,,4,,,4
25,GE 2,,,,,,4,,,4
26,GE 3,,,,,,4,,,4
27,GE 4,,,,,,4,,,5
28,GE 5,,,,,,4,,,5
29,GE 6,,,,,,4,,,6
30,GE 7,,,,,,4,,,6
31,GE 8,,,,,,4,,,6
32,ELECTIVE 2,,,,,,4,,,7
33,ELECTIVE 3,,,,,,4,,,7
34,ELECTIVE 4,,,,,,4,,,7
10,PRACTICUM / CAT 125 1,CAT,125,,,,4,,,8
35,ELECTIVE 5,,,,,,4,,,8
36,ELECTIVE 6,,,,,,4,,,8
37,ELECTIVE 7,,,,,,4,,,9
38,PRACTICUM / CAT 125 2,CAT,125,,,,4,,,9
39,ELECTIVE 8,,,,,,4,,,9
40,ELECTIVE 9,,,,,,4,,,10
41,ELECTIVE 10,,,,,,4,,,10
42,ELECTIVE 11,,,,,,4,,,11
43,ELECTIVE 12,,,,,,4,,,11
44,ELECTIVE 13,,,,,,4,,,12
