Curriculum,Chemical Physics,,,,,,,,,
Degree Plan,Chemical Physics/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0508,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHEM 6A,CHEM,6A,,,,4,,,1
2,MATH 20A,MATH,20A,,,,4,,,1
3,CHEM 6B,CHEM,6B,1;2,,,4,,,2
4,MATH 20B,MATH,20B,2,,,4,,,2
6,CHEM 6C,CHEM,6C,3,,,4,,,3
8,CHEM 7LM,CHEM,7LM,3,,,4,,,3
7,MATH 20C,MATH,20C,4,,,4,,,3
5,PHYS 2A,PHYS,2A,2,,,4,,,3
9,CHEM 140A,CHEM,140A,,,,4,,,4
10,PHYS 2B,PHYS,2B,5;2;4,,,4,,,4
11,MATH 20D,MATH,20D,7,,,4,,,4
12,CHEM 140B,CHEM,140B,9,,,4,,,5
13,PHYS 2C,PHYS,2C,5;2;4;7,,,4,,,5
14,MATH 20E,MATH,20E,7,,,4,,,5
15,CHEM 143A,CHEM,143A,9,,,4,,,5
16,CHEM 100A,CHEM,100A,6,,,4,,,6
17,PHYS 2D,PHYS,2D,5;10;11,,,4,,,6
18,MATH 18,MATH,18,,,,4,,,6
19,PHYS 110A / 100A,PHYS,110A,5;10;13;13;2;4;7;11;14;18,,,4,,,7
20,CHEM 130,CHEM,130,6;13;11,,,4,,,7
21,CHEM 143B / 143C,CHEM,143B,15;12,,,5,,,7
22,PHYS 110B / 100B,PHYS,110B,19;2;4;7;11;14;18,,,4,,,8
23,CHEM 131,CHEM,131,6;13;7,,,4,,,8
24,PHYS 2CL,PHYS,2CL,5;10,,,2,,,8
25,CHEM 100B,CHEM,100B,16;13;24,,,4,,,9
26,CHEM 132,CHEM,132,20;23,,,4,,,9
27,CHEM 120A,CHEM,120A,6;9,,,4,,,10
28,CHEM 105A,CHEM,105A,16;24;20,,,4,,,10
29,CHEM 120B / 114A,CHEM,120B,27,,,4,,,11
32,CHEM ELECTIVE LAB,,,,,,4,,,11
30,MATH 110,MATH,110,,,,4,,,11
31,CHEM 135,CHEM,135,20;11,,,4,,,12
33,CHEM ELECTIVE,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
34,GE / WRITING 1,,,,,,4,,,1
35,GE / WRITING 2,,,,,,4,,,2
36,GE 1,,,,,,4,,,2
37,GE 2,,,,,,4,,,4
38,GE 3,,,,,,4,,,6
39,GE 4,,,,,,4,,,7
40,GE 5,,,,,,4,,,8
41,GE 6,,,,,,4,,,9
42,GE 7,,,,,,4,,,9
43,ELECTIVE,,,,,,1,,,10
44,DEI,,,,,,4,,,10
45,GE 8,,,,,,4,,,11
46,GE 9,,,,,,4,,,12
