Curriculum,Computer Engineering
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,14.0901
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
30,LD ELECTIVE,,,,,,2,,
2,CSE 11,CSE,11,,,,4,,
3,CSE 12,CSE,12,2,,,4,,
4,CSE 15L,CSE,15L,2,,,2,,
5,MATH 20B,MATH,20B,1,,,4,,
6,PHYS 2A,PHYS,2A,1,,,4,,
7,MATH 20C,MATH,20C,5,,,4,,
8,CSE 20,CSE,20,,2,,4,,
9,CSE 30,CSE,30,3;4,,,4,,
10,CSE 21,CSE,21,8,,,4,,
11,ECE 35,ECE,35,1;5;6,,,4,,
12,PHYS 2B,PHYS,2B,6;1;5,,,4,,
13,MATH 20D,MATH,20D,7,,,4,,
14,MATH 18,MATH,18,,,,4,,
15,CSE 100,CSE,100,10;3;4;9,,,4,,
16,ECE 45,ECE,45,11,,,4,,
17,PHYS 2C,PHYS,2C,6;1;5;7,,,4,,
18,ECE 109,ECE,109,1;5;7;13,,,4,,
19,CSE 110,CSE,110,3;10,,,4,,
20,ECE 65,ECE,65,11,,,4,,
21,CSE 140L,CSE,140L,8;9,,,2,,
22,CSE 140,CSE,140,8;9,,,4,,
23,ECE 101,ECE,101,16,,,4,,
24,CSE 141L,CSE,141L,9;19;22;21,,,2,,
25,CSE 141,CSE,141,9;22;21,,,4,,
26,CSE 101,CSE,101,15,,,4,,
27,ECE 111 / 118,ECE,111,22,,,4,,
28,ECE 108,ECE,108,22;9;16;20,,,4,,
31,CSE / ECE TE 1,,,,,,4,,
32,CSE / ECE TE 2,,,,,,4,,
29,CSE 120,CSE,120,9;26;19,,,4,,
33,CSE / ECE TE 3,,,,,,4,,
34,CSE / ECE TE 4,,,,,,4,,
35,CSE / ECE TE 5,,,,,,4,,
36,CSE TECHNICAL ELECTIVE,,,,,,4,,
