Curriculum,Economics
Degree Plan,Economics/ Revelle
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,45.0603
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A (OR 10A),MATH,20A,,,,4,,,1
2,ECON 1,ECON,1,,,,4,,,1
3,MATH 20B (OR 10B),MATH,20B,1,,,4,,,2
4,ECON 3,ECON,3,2,,,4,,,2
5,MATH 20C (OR 10C),MATH,20C,3,,,4,,,3
7,ECON 100A,ECON,100A,2;5,,,4,,,4
6,ECON 120A,ECON,120A,2;5,,,4,,,4
8,ECON 100B,ECON,100B,7,,,4,,,5
9,ECON 120B,ECON,120B,6,,,4,,,5
11,ECON 100C,ECON,100C,8,,,4,,,6
10,ECON 120C,ECON,120C,9,,,4,,,6
12,ECON 110A,ECON,110A,2;4;5,,,4,,,7
20,ELECTIVE 1,,,,,,4,,,7
13,ECON 110B,ECON,110B,12,,,4,,,8
21,ECON UD ELECTIVE 1,,,,,,4,,,8
22,ECON UD ELECTIVE 2,,,,,,4,,,9
23,ECON UD ELECTIVE 3,,,,,,4,,,10
24,ECON UD ELECTIVE 4,,,,,,4,,,11
25,ECON UD ELECTIVE 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,CHEM 11,CHEM,11,,,,4,,,1
15,HUM 1,HUM,1,,,,6,,,2
26,BIOLOGY GE,,,,,,4,,,3
16,HUM 2,HUM,2,,,,6,,,3
17,HUM 3,HUM,3,,,,4,,,4
18,HUM 4,HUM,4,,,,4,,,5
27,PHYSICS GE,,,,,,4,,,5
19,HUM 5,HUM,5,,,,4,,,6
28,ELECTIVE 2,,,,,,4,,,6
29,NATURAL SCIENCE GE 1,,,,,,4,,,7
30,LANGUAGE 1,,,,,,5,,,7
31,LANGUAGE 2,,,,,,5,,,8
32,NATURAL SCIENCE GE 2,,,,,,4,,,8
33,DEI,,,,,,4,,,9
34,LANGUAGE 3,,,,,,5,,,9
35,ELECTIVE 3,,,,,,4,,,9
36,LANGUAGE 4,,,,,,5,,,10
37,FINE ARTS,,,,,,4,,,10
38,ELECTIVE 4,,,,,,4,,,10
39,ELECTIVE 5,,,,,,4,,,11
40,ELECTIVE 6,,,,,,4,,,11
41,ELECTIVE 7,,,,,,4,,,11
42,ELECTIVE 8,,,,,,4,,,12
43,ELECTIVE 9,,,,,,4,,,12
44,ELECTIVE 10,,,,,,4,,,12
