Curriculum,Latin American Studies,,,,,,,,,
Degree Plan,Latin American Studies/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0107,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LISP 1A,LISP,1A,,,,2.5,,,1
2,LISP 1AX,LISP,1AX,,,,2.5,,,1
3,LISP 1B,LISP,1B,1;2,,,2.5,,,2
4,LISP 1BX,LISP,1BX,1;2,,,2.5,,,2
5,LISP 1C,LISP,1C,3;4,,,2.5,,,3
6,LISP 1CX,LISP,1CX,3;4,,,2.5,,,3
7,LTSP 2A,LTSP,2A,5;6,,,5,,,4
8,LTSP 2B,LTSP,2B,7,,,5,,,5
9,LATI 50,LATI,50,,,,4,,,5
10,LTSP 2C,LTSP,2C,8,,,4,,,6
20,LATI METHOD,,,,,,4,,,7
21,LATI UD ELECTIVE 1,,,,,,4,,,7
22,LATI CORE COURSE 1,,,,,,4,,,8
23,LATI UD ELECTIVE 2,,,,,,4,,,8
11,LATI 180,LATI,180,,,,4,,,9
24,LATI CORE COURSE 2,,,,,,4,,,9
25,LATI CORE COURSE 3,,,,,,4,,,10
26,LATI UD ELECTIVE 3,,,,,,4,,,10
12,LATI 190,LATI,190,,,,4,,,11
27,LATI UD ELECTIVE 4,,,,,,4,,,11
28,LATI UD ELECTIVE 5,,,,,,4,,,12
29,LATI UD ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,MATH 10A,MATH,10A,,,,4,,,1
30,SOCIAL SCIENCE / DEI,,,,,,4,,,1
14,HUM 1,HUM,1,,,,6,,,2
15,MATH 10B,MATH,10B,13,,,4,,,2
16,HUM 2,HUM,2,,,,6,,,3
31,MATH GE,,,,,,4,,,3
17,HUM 3,HUM,3,,,,4,,,4
32,SOCIAL SCIENCE,,,,,,4,,,4
33,FINE ARTS,,,,,,4,,,4
18,HUM 4,HUM,4,,,,4,,,5
34,PHYSICS GE,,,,,,4,,,5
19,HUM 5,HUM,5,,,,4,,,6
35,BIOLOGY GE,,,,,,4,,,6
36,ELECTIVE 1,,,,,,4,,,6
37,CHEMISTRY GE,,,,,,4,,,7
38,ELECTIVE 2,,,,,,4,,,7
39,NATURAL SCIENCE GE 1,,,,,,4,,,8
40,ELECTIVE 3,,,,,,4,,,8
41,NATURAL SCIENCE GE 2,,,,,,4,,,9
42,ELECTIVE 4,,,,,,4,,,9
43,ELECTIVE 5,,,,,,4,,,10
44,ELECTIVE 6,,,,,,4,,,10
45,ELECTIVE 7,,,,,,4,,,11
46,ELECTIVE 8,,,,,,3,,,11
47,ELECTIVE 9,,,,,,4,,,12
