Curriculum,Mathematics/Applied Science
Degree Plan,Mathematics/Applied Science/ Marshall
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,27.0199
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,MATH 20C,MATH,20C,3,,,4,,,3
5,CSE 11,CSE,11,,,,4,,,4
6,MATH 109,MATH,109,2;4,,,4,,,4
7,MATH 20D,MATH,20D,4,,,4,,,5
12,UD MAJOR 1,,,,,,4,,,6
8,MATH 20E,MATH,20E,2;4,,,4,,,6
13,UD MAJOR 2,,,,,,4,,,7
14,UD MAJOR 3,,,,,,4,,,7
15,UD MAJOR 4,,,,,,4,,,8
16,UD MAJOR 5,,,,,,4,,,8
17,UD MAJOR 6,,,,,,4,,,9
18,UD MAJOR 7,,,,,,4,,,9
19,UD MAJOR 8,,,,,,4,,,10
20,UD MAJOR 9,,,,,,4,,,10
21,UD MAJOR 10,,,,,,4,,,11
22,UD MAJOR 11,,,,,,4,,,11
23,UD MAJOR 12,,,,,,4,,,12
24,UD MAJOR 13,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,DOC 1 / DEI,DOC,1,,,,4,,,1
25,GE 1,,,,,,4,,,1
10,DOC 2,DOC,2,9,,,6,,,2
26,GE 2,,,,,,4,,,2
27,ELECTIVE 1,,,,,,4,,,2
11,DOC 3,DOC,3,,,,6,,,3
28,GE 3,,,,,,4,,,3
29,ELECTIVE 2,,,,,,4,,,3
30,GE 4,,,,,,4,,,4
31,GE 5,,,,,,4,,,4
32,GE 6,,,,,,4,,,5
33,GE 7,,,,,,4,,,5
34,ELECTIVE 3,,,,,,4,,,5
35,ELECTIVE 4,,,,,,4,,,6
36,ELECTIVE 5,,,,,,4,,,6
37,GE 8,,,,,,4,,,7
38,ELECTIVE 6,,,,,,4,,,7
39,UD GE 1,,,,,,4,,,8
40,ELECTIVE 7,,,,,,4,,,8
41,UD GE 2,,,,,,4,,,9
42,ELECTIVE 8,,,,,,4,,,10
43,ELECTIVE 9,,,,,,4,,,11
44,ELECTIVE 10,,,,,,4,,,12
