Curriculum,Cognitive and Behavioral Neuroscience,,,,,,,,,
Degree Plan,Cognitive and Behavioral Neuroscience/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,GE 1,,,,,,4,,,1
1,COGS 17,COGS,17,,,,4,,,1
2,MATH 10A / 20A,MATH,10A,,,,4,,,1
14,NATURAL SCIENCE 1,,,,,,4,,,2
3,MATH 10B / 20B,MATH,10B,2,,,4,,,2
15,NATURAL SCIENCE 2,,,,,,4,,,3
4,MATH 10C / 20C,MATH,10C,3,,,4,,,3
16,GE / DEI,,,,,,4,,,4
17,ELECTIVE 1,,,,,,4,,,4
5,PSYC 60 / COGS 14B,PSYC,60,,,,4,,,4
18,GE 2,,,,,,4,,,5
19,GE 3,,,,,,4,,,5
6,PSYC 70 / COGS 14A,PSYC,70,5,,,4,,,5
20,GE 4,,,,,,4,,,6
21,ELECTIVE 2,,,,,,4,,,6
22,COMPUTER PROGRAMMING,,,,,,4,,,6
7,COGS 107A,COGS,107A,1,,,4,,,7
23,CBN CORE 1,,,,,,4,,,7
24,CBN ELECTIVE 1,,,,,,4,,,8
25,CBN CORE 2,,,,,,4,,,8
26,CBN ELECTIVE 2,,,,,,4,,,9
27,CBN CORE 3,,,,,,4,,,9
28,CBN RESEARCH 1,,,,,,4,,,9
29,CBN ELECTIVE 3,,,,,,4,,,10
30,CBN ELECTIVE 4,,,,,,4,,,10
31,CBN RESEARCH 2,,,,,,4,,,10
32,ADDITIONAL ELECTIVE 1,,,,,,4,,,11
33,CBN ELECTIVE 5,,,,,,4,,,11
34,CBN ELECTIVE 6,,,,,,4,,,12
35,ADDITIONAL ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,MMW 11,MMW,11,,,,4,,,1
9,MMW 12,MMW,12,,,,6,,,2
10,MMW 13,MMW,13,,,,6,,,3
11,MMW 14 / GE 1,MMW,14,9;10,,,4,,,4
36,MMW 14 / GE 2,MMW,14,9;10,,,4,,,5
12,MMW 15,MMW,15,9;10,,,4,,,6
37,GE 5,,,,,,4,,,7
38,ELECTIVE 3,,,,,,4,,,7
39,GE 6,,,,,,4,,,8
40,ELECTIVE 4,,,,,,4,,,8
41,ELECTIVE 5,,,,,,4,,,9
42,ELECTIVE 6,,,,,,4,,,10
43,ELECTIVE 7,,,,,,4,,,11
44,ELECTIVE 8,,,,,,4,,,12
