Curriculum,Marine Biology,,,,,,,,,
Degree Plan,Marine Biology/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.1302,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,BILD 3,BILD,3,,,,4,,,1
1,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 10A / 20A,MATH,10A,,,,4,,,1
4,MATH 10B / 20B,MATH,10B,3,,,4,,,2
5,CHEM 6B,CHEM,6B,1;3,,,4,,,2
6,BILD 1,BILD,1,1,,,4,,,2
7,SIO 90,SIO,90,,,,1,,,3
8,BILD 2,BILD,2,6,,,4,,,3
9,CHEM 6C,CHEM,6C,5,,,4,,,3
10,MATH 10C / 20C,MATH,10C,4,,,4,,,3
11,CHEM 7L,CHEM,7L,5,,,4,,,4
12,SIO 132,SIO,132,2,,,4,,,4
13,PHYS 1A,PHYS,1A,3,,,3,,,4
14,PHYS 1AL,PHYS,1AL,3,,,2,,,4
15,SIO 134,SIO,134,2,,,4,,,5
16,PHYS 1B,PHYS,1B,4;13;14,,,3,,,5
17,PHYS 1BL,PHYS,1BL,4;13;14,,,2,,,5
18,PHYS 1CL,PHYS,1CL,10;16;17,,,2,,,6
19,PHYS 1C,PHYS,1C,10;16;17,,,3,,,6
26,MARINE BIOLOGY ELECTIVE 1,,,,,,4,,,7
20,SIO 187,SIO,187,2,,,4,,,7
22,BICD 100,BICD,100,6,,,4,,,8
21,SIO 119,SIO,119,9;19,,,4,,,8
25,SIO 139,SIO,139,,,,1,,,9
24,SIO 181,SIO,181,,,,4,,,9
23,SIO 136,SIO,136,2;12;15,,,6,,,9
27,MARINE BIOLOGY ELECTIVE 2,,,,,,4,,,10
28,MARINE BIOLOGY ELECTIVE 3,,,,,,4,,,10
29,MARINE BIOLOGY ELECTIVE 4,,,,,,4,,,11
30,MARINE BIOLOGY ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
31,GE 1,,,,,,4,,,1
32,GE 2,,,,,,4,,,2
33,GE 3,,,,,,4,,,3
34,GE 4,,,,,,4,,,4
35,GE 5,,,,,,4,,,5
36,GE 6,,,,,,4,,,5
37,GE / DEI,,,,,,4,,,6
38,GE 7,,,,,,4,,,6
39,ELECTIVE 1,,,,,,4,,,6
40,GE 8,,,,,,4,,,7
41,GE 9,,,,,,4,,,7
42,GE 10,,,,,,4,,,8
43,GE 11,,,,,,4,,,8
44,GE 12,,,,,,4,,,10
45,ELECTIVE 2,,,,,,1,,,10
46,GE 13,,,,,,4,,,11
47,GE 14,,,,,,4,,,11
48,GE 15,,,,,,4,,,12
49,ELECTIVE 3,,,,,,4,,,12
