Curriculum,Speculative Design,,,,,,,,,
Degree Plan,Speculative Design/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0401,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"VIS 1, 2, / 3",VIS,1,,,,4,,,1
2,VIS 30,VIS,30,,,,4,,,1
3,VIS 22,VIS,22,,,,4,,,2
4,VIS 11,VIS,11,,,,4,,,2
5,VIS 10,VIS,10,,,,4,,,3
6,VIS 41,VIS,41,,,,4,,,3
16,FOUNDATION LEVEL: ELECTIVE 1,,,,,,4,,,4
17,HISTORY & THEORY,,,,,,4,,,4
18,FOUNDATION LEVEL: ELECTIVE 2,,,,,,4,,,5
7,VIS 100,VIS,100,6,,,4,,,5
8,VIS 135,VIS,135,2,,,4,,,6
9,VIS 142,VIS,142,,,,4,,,7
10,VIS 159,VIS,159,,,,4,,,8
19,INTERMEDIATE LEVEL: EMPHASIS 1,,,,,,4,,,8
20,INTERMEDIATE LEVEL: EMPHASIS 2,,,,,,4,,,9
21,INTERMEDIATE LEVEL: EMPHASIS 3,,,,,,4,,,9
22,ADVANCED LEVEL: ELECTIVE 1,,,,,,4,,,10
23,ADVANCED LEVEL: ELECTIVE 2,,,,,,4,,,10
24,ADVANCED LEVEL: ELECTIVE 3,,,,,,4,,,11
11,VIS 190,VIS,190,8;9;7,,,8,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,CAT 1,CAT,1,,,,4,,,1
13,CAT 2,CAT,2,12,,,4,,,2
14,CAT 3,CAT,3,13,,,4,,,3
25,GE 1,,,,,,4,,,3
26,GE / DEI,,,,,,4,,,4
27,GE 2,,,,,,4,,,5
28,GE 3,,,,,,4,,,5
29,GE 4,,,,,,4,,,6
30,GE 5,,,,,,4,,,6
31,GE 6,,,,,,4,,,6
32,GE 7,,,,,,4,,,7
33,ELECTIVE 1,,,,,,4,,,7
34,ELECTIVE 2,,,,,,4,,,7
35,ELECTIVE 3,,,,,,4,,,8
36,ELECTIVE 4,,,,,,4,,,8
15,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,9
37,ELECTIVE 5,,,,,,4,,,9
38,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,10
39,ELECTIVE 6,,,,,,4,,,10
40,ELECTIVE 7,,,,,,4,,,11
41,ELECTIVE 8,,,,,,4,,,11
42,ELECTIVE 9,,,,,,4,,,11
43,ELECTIVE 10,,,,,,4,,,12
44,ELECTIVE 11,,,,,,4,,,12
