Curriculum,Molecular Biology,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,26.0204,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 10A / 20A,MATH,10A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,BILD 4,BILD,4,,,,2,,
4,MATH 10B / 20B,MATH,10B,1,,,4,,
5,CHEM 6B,CHEM,6B,2;1,,,4,,
6,BILD 3,BILD,3,,,,4,,
7,MATH 11,MATH,11,4,,,5,,
8,CHEM 6C,CHEM,6C,5,,,4,,
9,CHEM 7L,CHEM,7L,5,,,4,,
10,PHYS 1A,PHYS,1A,1,,,3,,
11,PHYS 1AL,PHYS,1AL,1,,,2,,
12,BILD 1,BILD,1,,,,4,,
13,CHEM 40A,CHEM,40A,5,,,4,,
14,PHYS 1B,PHYS,1B,4;10;11,,,3,,
15,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,
16,BICD 100,BICD,100,12,,,4,,
17,CHEM 40B,CHEM,40B,13,,,4,,
18,PHYS 1C,PHYS,1C,7;14;15,,,3,,
19,PHYS 1CL,PHYS,1CL,7;14;15,,,2,,
20,BIBC 100,BIBC,100,13;17,,,4,,
21,BIMM 100,BIMM,100,12;3;13;17,,,4,,
22,CHEM 43A,CHEM,43A,9;13,,,4,,
23,BIMM 112,BIMM,112,21,,,4,,
24,BIBC 102,BIBC,102,13;17,,,4,,
25,BIMM 101,BIMM,101,12,,,4,,
26,BICD 110,BICD,110,20,,,4,,
28,UD BIOLOGY LAB,,,,,,4,,
29,UD BIOLOGY ELECTIVE 1,,,,,,4,,
27,BIMM 122,BIMM,122,21,,,4,,
30,UD BIOLOGY ELECTIVE 2,,,,,,4,,
31,UD BIOLOGY ELECTIVE 3,,,,,,4,,
