Curriculum,"Environmental Systems (Ecology, Behavior and Evolution)",,,,,,,,,
Degree Plan,"Environmental Systems (Ecology, Behavior and Evolution)/ ERC",,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,03.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A,MATH,10A,,,,4,,,1
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,BILD 3,BILD,3,,,,4,,,1
4,MATH 10B,MATH,10B,1,,,4,,,2
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,BILD 1 (GENETICS PREREQ),BILD,1,2,,,4,,,2
7,MATH 10C,MATH,10C,4,,,4,,,3
8,CHEM 6C,CHEM,6C,5,,,4,,,3
9,CHEM 7L,CHEM,7L,5,,,4,,,3
10,PHYS 1A,PHYS,1A,1,,,3,,,4
11,PHYS 1AL,PHYS,1AL,1,,,2,,,4
12,ECON 1,ECON,1,,,,4,,,4
13,ESYS 101,ESYS,101,3,,,4,,,4
14,PHYS 1B,PHYS,1B,4;10;11,,,3,,,5
15,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,,5
16,ESYS 102,ESYS,102,1;2;10,,,4,,,5
17,PHYS 1C,PHYS,1C,7;14;15,,,3,,,6
18,PHYS 1CL,PHYS,1CL,7;14;15,,,2,,,6
20,BIEB 100,BIEB,100,3;1;4,,,4,,,6
19,ESYS 103,ESYS,103,1;4;7,,,4,,,6
22,BICD 100,BICD,100,6,,,4,,,7
23,ECON 131,ECON,131,,,,4,,,7
21,POLI 160AA,POLI,160AA,,,,4,,,7
31,ESYS MAJOR ELECTIVE 1,,,,,,4,,,8
32,ESYS MAJOR LAB,,,,,,4,,,8
33,ESYS MAJOR ELECTIVE 2,,,,,,4,,,9
34,ESYS MAJOR ELECTIVE 3,,,,,,4,,,9
24,ESYS 190A 1,ESYS,190A,,,,4,,,10
35,ESYS MAJOR ELECTIVE 4,,,,,,4,,,10
36,ESYS 190A 2,ESYS,190A,19,,,4,,,11
37,ESYS MAJOR ELECTIVE 5,,,,,,4,,,11
25,ESYS 190B,ESYS,190B,24,,,4,,,12
38,ESYS MAJOR ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
26,MMW 11,MMW,11,,,,4,,,1
27,MMW 12,MMW,12,,,,6,,,2
28,MMW 13,MMW,13,27,,,6,,,3
29,MMW 14 / GE 1,MMW,14,27;28,,,4,,,4
39,MMW 14 / GE 2,MMW,14,27;28,,,4,,,5
40,GE 1,,,,,,4,,,5
30,MMW 15,MMW,15,27;28,,,4,,,6
41,GE / DEI,,,,,,4,,,7
42,GE 2,,,,,,4,,,8
43,GE 3,,,,,,4,,,8
44,GE 4,,,,,,4,,,9
45,GE 5,,,,,,4,,,10
46,GE 6,,,,,,4,,,11
47,GE 7,,,,,,4,,,12
