Curriculum,Linguistics(Specialization in Language and Society),,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BA,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,30.2501,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
8,LANGUAGE REQUIREMENT 1,,,,,,5,,
9,LANGUAGE REQUIREMENT 2,,,,,,5,,
10,LANGUAGE REQUIREMENT 3,,,,,,5,,
11,LANGUAGE REQUIREMENT 4,,,,,,5,,
1,LIGN 101,LIGN,101,,,,4,,
2,"LIGN 174, 175, / 177",LIGN,174,,,,4,,
12,LIGN ELECTIVE 1,,,,,,4,,
13,UD ELECTIVE FROM APPROVED LIST 1,,,,,,4,,
3,LIGN 110,LIGN,110,1,,,4,,
14,UD ELECTIVE FROM APPROVED LIST 2,,,,,,4,,
4,LIGN 111,LIGN,111,3,,,4,,
5,LIGN 120,LIGN,120,,,,4,,
15,LIGN ELECTIVE 2,,,,,,4,,
16,LIGN ELECTIVE 3,,,,,,4,,
6,LIGN 121,LIGN,121,,,,4,,
7,LIGN 130,LIGN,130,1,,,4,,
