Curriculum,Russian Literature,,,,,,,,,
Degree Plan,Russian Literature/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0402,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTRU 1A,LTRU,1A,,,,5,,,1
2,LTRU 1B,LTRU,1B,,,,5,,,2
3,LTRU 1C,LTRU,1C,,,,5,,,3
15,LD LTEN,,,,,,4,,,4
4,LTRU 2A,LTRU,2A,,,,5,,,4
5,LTRU 2B,LTRU,2B,,,,5,,,5
6,LTRU 104A,LTRU,104A,5,,,4,,,6
7,LTRU 104B,LTRU,104B,6,,,4,,,7
8,LTRU 104C,LTRU,104C,,,,4,,,8
16,UD LTRU 1,,,,,,4,,,8
9,LTRU 110C,LTRU,110C,,,,4,,,9
17,UD LTRU 2,,,,,,4,,,9
10,LTRU 110A,LTRU,110A,,,,4,,,10
18,UD LTRU 3,,,,,,4,,,10
11,LTRU 110B,LTRU,110B,,,,4,,,11
19,UD LTRU 4,,,,,,4,,,11
20,UD LTRU 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,DOC 1 / DEI,DOC,1,,,,4,,,1
21,GE 1,,,,,,4,,,1
22,GE 2,,,,,,4,,,1
13,DOC 2,DOC,2,12,,,6,,,2
23,GE 3,,,,,,4,,,2
24,GE 4,,,,,,4,,,2
14,DOC 3,DOC,3,,,,6,,,3
25,GE 5,,,,,,4,,,3
26,GE 6,,,,,,4,,,3
27,GE 7,,,,,,4,,,4
28,GE 8,,,,,,4,,,4
29,GE 9,,,,,,4,,,5
30,ELECTIVE 1,,,,,,4,,,5
31,ELECTIVE 2,,,,,,4,,,5
32,GE 10,,,,,,4,,,6
33,ELECTIVE 3,,,,,,4,,,6
34,ELECTIVE 4,,,,,,3,,,7
35,ELECTIVE 5,,,,,,4,,,7
36,ELECTIVE 6,,,,,,4,,,7
37,ELECTIVE 7,,,,,,4,,,8
38,ELECTIVE 8,,,,,,4,,,8
39,ELECTIVE 9,,,,,,4,,,9
40,UD GE 1,,,,,,4,,,10
41,UD GE 2,,,,,,4,,,11
42,UD ELECTIVE 1,,,,,,4,,,12
43,UD ELECTIVE 2,,,,,,4,,,12
