Curriculum,Mathematics/Secondary Education
Degree Plan,Mathematics/Secondary Education/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,13.1311
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,MATH 20C,MATH,20C,3,,,4,,,3
5,MATH 109,MATH,109,2;4,,,4,,,4
6,MATH 20D,MATH,20D,4,,,4,,,5
16,UD MAJOR 1,,,,,,4,,,6
7,MATH 20E,MATH,20E,2;4,,,4,,,6
17,UD MAJOR 2,,,,,,4,,,7
18,UD MAJOR 3,,,,,,4,,,7
19,UD MAJOR 4,,,,,,4,,,8
20,UD MAJOR 5,,,,,,4,,,8
21,UD MAJOR 6,,,,,,4,,,9
22,UD MAJOR 7,,,,,,4,,,9
23,UD MAJOR 8,,,,,,4,,,10
8,EDS 129A,EDS,129A,,,,4,,,10
24,UD MAJOR 9,,,,,,4,,,11
9,EDS 129B,EDS,129B,8,,,4,,,11
10,EDS 129C,EDS,129C,9,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,MMW 11,MMW,11,,,,4,,,1
25,GE 1,,,,,,4,,,1
12,MMW 12,MMW,12,,,,6,,,2
26,GE 2,,,,,,4,,,2
13,MMW 13,MMW,13,12,,,6,,,3
27,GE 3,,,,,,4,,,3
14,MMW 14 / GE 1,MMW,14,12;13,,,4,,,4
28,GE / DEI,,,,,,4,,,4
29,GE 4,,,,,,4,,,4
30,MMW 14 / GE 2,MMW,14,12;13,,,4,,,5
31,GE 5,,,,,,4,,,5
32,GE 6,,,,,,4,,,5
15,MMW 15,MMW,15,12;13,,,4,,,6
33,GE 7,,,,,,4,,,6
34,UD ELECTIVE 1,,,,,,4,,,7
35,ELECTIVE 1,,,,,,4,,,7
36,UD ELECTIVE 2,,,,,,4,,,8
37,ELECTIVE 2,,,,,,4,,,8
38,UD ELECTIVE 3,,,,,,4,,,9
39,ELECTIVE 3,,,,,,4,,,9
40,ELECTIVE 4,,,,,,4,,,10
41,ELECTIVE 5,,,,,,4,,,10
42,ELECTIVE 6,,,,,,4,,,11
43,GE 8,,,,,,4,,,12
44,ELECTIVE 7,,,,,,4,,,12
