Curriculum,Political Science,,,,,,,,,
Degree Plan,Political Science/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1001,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,LD POLI 1,,,,,,4,,,1
10,LD POLI 2,,,,,,4,,,2
11,LD POLI 3,,,,,,4,,,3
12,LD POLI 4,,,,,,4,,,4
13,UD POLI 1,,,,,,4,,,5
14,UD POLI 2,,,,,,4,,,6
15,UD POLI 3,,,,,,4,,,7
16,UD POLI 4,,,,,,4,,,7
17,UD POLI 5,,,,,,4,,,8
18,UD POLI 6,,,,,,4,,,8
19,UD POLI 7,,,,,,4,,,9
20,UD POLI 8,,,,,,4,,,9
21,UD POLI 9,,,,,,4,,,10
22,UD POLI 10,,,,,,4,,,10
23,UD POLI 11,,,,,,4,,,11
24,UD POLI 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,FINE ARTS,,,,,,4,,,1
2,MATH 10A,MATH,10A,,,,4,,,1
3,HUM 1,HUM,1,,,,6,,,2
4,MATH 10B,MATH,10B,2,,,4,,,2
5,HUM 2,HUM,2,,,,6,,,3
26,MATH GE,,,,,,4,,,3
6,HUM 3,HUM,3,3,,,4,,,4
27,CHEMISTRY GE,,,,,,4,,,4
28,LANGUAGE 1,,,,,,5,,,4
7,HUM 4,HUM,4,,,,4,,,5
29,PHYSICS GE,,,,,,4,,,5
30,LANGUAGE 2,,,,,,5,,,5
8,HUM 5,HUM,5,,,,4,,,6
31,BIOLOGY GE,,,,,,4,,,6
32,LANGUAGE 3,,,,,,5,,,6
33,DEI,,,,,,4,,,7
34,LANGUAGE 4,,,,,,5,,,7
35,NATURAL SCIENCE GE 1,,,,,,4,,,8
36,ELECTIVE 1,,,,,,4,,,8
37,NATURAL SCIENCE GE 2,,,,,,4,,,9
38,ELECTIVE 2,,,,,,4,,,9
39,UD ELECTIVE 1,,,,,,4,,,10
40,ELECTIVE 3,,,,,,4,,,10
41,UD POLI 13,,,,,,4,,,11
42,UD ELECTIVE 2,,,,,,4,,,11
43,ELECTIVE 4,,,,,,4,,,12
44,ELECTIVE 5,,,,,,4,,,12
