Curriculum,Sociology-International Studies,,,,,,,,,
Degree Plan,Sociology-International Studies/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,SOCI 1,SOCI,1,,,,4,,,1
2,SOCI 2,SOCI,2,,,,4,,,2
3,SOCI 60,SOCI,60,,,,4,,,5
4,"SOCI 10, 20, 30, 40, / 50",SOCI,10,,,,4,,,6
10,SOC UD CONCENTRATION 1,,,,,,4,,,7
5,SOCI 100,SOCI,100,,,,4,,,7
11,SOCI - METHOD,,,,,,4,,,8
12,SOC UD ELECTIVE 1,,,,,,4,,,8
13,SOC UD ELECTIVE 2,,,,,,4,,,9
14,SOC UD CONCENTRATION 2,,,,,,4,,,9
15,SOC UD CONCENTRATION 3,,,,,,4,,,10
16,SOC UD ELECTIVE 3,,,,,,4,,,10
17,SOC UD CONCENTRATION 4,,,,,,4,,,11
18,SOC UD ELECTIVE 4,,,,,,4,,,11
19,SOC UD CONCENTRATION 5,,,,,,4,,,12
20,SOC UD ELECTIVE 5,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,CAT 1,CAT,1,,,,4,,,1
21,GE 1,,,,,,4,,,1
22,GE 2,,,,,,4,,,1
23,ELECTIVE 1,,,,,,4,,,2
7,CAT 2,CAT,2,6,,,6,,,2
24,ELECTIVE 2,,,,,,4,,,3
8,CAT 3,CAT,3,7,,,6,,,3
25,GE 3,,,,,,4,,,3
26,GE 4,,,,,,4,,,4
27,GE / DEI,,,,,,4,,,4
28,GE 5,,,,,,4,,,4
29,ELECTIVE 3,,,,,,4,,,4
30,GE 6,,,,,,4,,,5
31,GE 7,,,,,,4,,,5
32,ELECTIVE 4,,,,,,4,,,5
33,GE 8,,,,,,4,,,6
34,ELECTIVE 5,,,,,,4,,,6
35,ELECTIVE 6,,,,,,4,,,6
36,UD ELECTIVE,,,,,,4,,,7
37,ELECTIVE 7,,,,,,4,,,7
9,CAT 125 / PRACTICUM,CAT,125,,,,4,,,8
38,ELECTIVE 8,,,,,,4,,,8
39,ELECTIVE 9,,,,,,4,,,9
40,ELECTIVE 10,,,,,,4,,,9
41,ELECTIVE 11,,,,,,4,,,10
42,ELECTIVE 12,,,,,,4,,,10
43,CAT125 / PRACTICUM,CAT,125,,,,4,,,11
44,ELECTIVE 13,,,,,,4,,,12
