Curriculum,Theatre,,,,,,,,,
Degree Plan,Theatre/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,TDAC 1,TDAC,1,,,,4,,,1
2,TDGE 1,TDGE,1,,,,4,,,1
3,TDDE 1,TDDE,1,,,,4,,,2
4,TDHT 22,TDHT,22,,,,4,,,2
5,TDPR 6 1,TDPR,6,,,,4,,,3
6,TDHT 10,TDHT,10,,,,4,,,3
7,TDHT 21,TDHT,21,,,,4,,,4
8,TDPW 1,TDPW,1,,,,4,,,4
9,TDAC 101,TDAC,101,1,,,4,,,5
10,TDDR 101,TDDR,101,,,,4,,,5
11,TDHT 23,TDHT,23,,,,4,,,6
19,TDDE XXX,,,,,,4,,,6
12,TDDR 111,TDDR,111,6,,,4,,,7
20,TDPR 6 2,TDPR,6,,,,4,,,7
13,TDPW 101,TDPW,101,8,,,4,,,8
21,UD THEATRE ELECTIVE 1,,,,,,4,,,8
22,UD THEATRE ELECTIVE 2,,,,,,4,,,9
23,TDHT XXX 1,,,,,,4,,,9
24,TDHT XXX 2,,,,,,4,,,10
25,UD THEATRE ELECTIVE 3,,,,,,4,,,10
26,TDHT XXX 3,,,,,,4,,,11
27,UD THEATRE ELECTIVE 4,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,MMW 11,MMW,11,,,,4,,,1
28,GE 1,,,,,,4,,,1
15,MMW 12,MMW,12,,,,6,,,2
16,MMW 13,MMW,13,15,,,6,,,3
17,MMW 14 / GE 1,MMW,14,15;16,,,4,,,4
29,GE / DEI,,,,,,4,,,4
30,MMW 14 / GE 2,MMW,14,15;16,,,4,,,5
31,GE 2,,,,,,4,,,5
18,MMW 15,MMW,15,15;16,,,4,,,6
32,GE 3,,,,,,4,,,6
33,GE 4,,,,,,4,,,7
34,GE 5,,,,,,4,,,7
35,GE 6,,,,,,4,,,8
36,GE 7,,,,,,4,,,8
37,GE 8,,,,,,4,,,9
38,GE 9,,,,,,4,,,9
39,ELECTIVE 1,,,,,,4,,,10
40,ELECTIVE 2,,,,,,4,,,10
41,ELECTIVE 3,,,,,,4,,,11
42,ELECTIVE 4,,,,,,4,,,11
43,UD ELECTIVE,,,,,,4,,,12
44,ELECTIVE 5,,,,,,4,,,12
