Curriculum,Third World Studies,,,,,,,,,
Degree Plan,Third World Studies/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0199,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LD TWS 21 - 26 1,TWS,21,,,,4,,,4
6,LD TWS 21 - 26 2,TWS,21,,,,4,,,5
7,LD TWS 21 - 26 3,TWS,21,,,,4,,,6
8,UD MAJOR - AFRICA TOPIC 1,,,,,,4,,,7
9,UD MAJOR - LATIN AMERICA TOPIC 1,,,,,,4,,,7
10,UD MAJOR - AFRICA TOPIC 2,,,,,,4,,,8
11,UD MAJOR - ASIA TOPIC 1,,,,,,4,,,8
12,UD MAJOR - ASIA TOPIC 2,,,,,,4,,,9
13,UD MAJOR - LATIN AMERICA TOPIC 2,,,,,,4,,,9
14,UD MAJOR - ELECTIVE 1,,,,,,4,,,10
15,UD MAJOR - ELECTIVE 2,,,,,,4,,,10
16,UD MAJOR - ELECTIVE 3,,,,,,4,,,11
17,UD MAJOR - ELECTIVE 4,,,,,,4,,,11
18,UD MAJOR - ELECTIVE 5,,,,,,4,,,12
19,UD MAJOR - ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CAT 1,CAT,1,,,,4,,,1
20,GE 1,,,,,,4,,,1
21,GE 2,,,,,,4,,,1
22,GE 3,,,,,,4,,,1
3,CAT 2,CAT,2,2,,,6,,,2
23,GE 4,,,,,,4,,,2
24,GE / DEI,,,,,,4,,,2
4,CAT 3,CAT,3,3,,,6,,,3
25,GE 5,,,,,,4,,,3
26,GE 6,,,,,,4,,,3
27,ELECTIVE 1,,,,,,4,,,4
28,GE 7,,,,,,4,,,4
29,ELECTIVE 2,,,,,,4,,,4
30,GE 8,,,,,,4,,,5
31,ELECTIVE 3,,,,,,4,,,5
32,ELECTIVE 4,,,,,,4,,,5
33,ELECTIVE 5,,,,,,4,,,6
34,ELECTIVE 6,,,,,,4,,,6
35,ELECTIVE 7,,,,,,4,,,6
36,UD ELECTIVE,,,,,,4,,,7
37,ELECTIVE 8,,,,,,4,,,7
5,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,8
38,ELECTIVE 9,,,,,,4,,,8
39,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,9
40,ELECTIVE 10,,,,,,4,,,9
41,ELECTIVE 11,,,,,,4,,,10
42,ELECTIVE 12,,,,,,4,,,10
43,ELECTIVE 13,,,,,,4,,,11
44,ELECTIVE 14,,,,,,4,,,12
