Curriculum,Interdisciplinary Computing and the Arts
Degree Plan,Interdisciplinary Computing and the Arts/ Revelle
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,50.9999
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,MATH 10A / 20A,MATH,10A,,,,4,,,1
24,FOUNDATION LEVEL: ART MAKING,,,,,,4,,,1
1,MUS 4,MUS,4,,,,4,,,1
16,MATH 10B / 20B,MATH,10B,14,,,4,,,2
3,VIS 22,VIS,22,,,,4,,,2
19,MATH 10C / 20C,MATH,10C,16,,,4,,,3
4,VIS 10,VIS,10,,,,4,,,3
5,VIS 41 1,VIS,41,,,,4,,,3
6,CSE 11,CSE,11,,,,4,,,4
7,VIS 142,VIS,142,,,,4,,,4
8,VIS 145A,VIS,145A,7,,,4,,,5
9,MUS 171,MUS,171,,,,4,,,5
10,VIS 70N,VIS,70N,,,,6,,,6
25,INTERMEDIATE LEVEL: ART MAKING 1,,,,,,4,,,6
26,INTERMEDIATE LEVEL: ART MAKING 2,,,,,,4,,,7
27,HISTORY & THEORY,,,,,,4,,,7
11,VIS 159,VIS,159,,,,4,,,8
28,INTERMEDIATE LEVEL: INTERDISCIPLINARY,,,,,,4,,,8
29,ADVANCED LEVEL: ART MAKING,,,,,,4,,,9
30,ADVANCED LEVEL: INTERDISCIPLINARY,,,,,,4,,,10
12,ICAM 160A,ICAM,160A,,,,4,,,11
13,ICAM 160B,ICAM,160B,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
15,CHEM 11,CHEM,11,,,,4,,,1
17,PHYS 10,PHYS,10,,,,4,,,2
18,HUM 1,HUM,1,,,,6,,,2
20,HUM 2,HUM,2,,,,6,,,3
31,VIS 41 2,VIS,41,,,,4,,,4
21,HUM 3,HUM,3,18,,,4,,,4
32,BIOLOGY GE,,,,,,4,,,5
22,HUM 4,HUM,4,,,,4,,,5
23,HUM 5,HUM,5,,,,4,,,6
33,LANGUAGE 1,,,,,,5,,,7
34,LANGUAGE 2,,,,,,5,,,8
35,NATURAL SCIENCE GE 1,,,,,,4,,,9
36,LANGUAGE 3,,,,,,5,,,9
37,UD ELECTIVE 1,,,,,,2,,,10
38,DEI / SOCIAL SCIENCE,,,,,,4,,,10
39,LANGUAGE 4,,,,,,5,,,10
40,UD ELECTIVE 2,,,,,,4,,,11
41,NATURAL SCIENCE GE 2,,,,,,4,,,11
42,SOCIAL SCIENCE,,,,,,4,,,11
43,UD ELECTIVE 3,,,,,,4,,,12
44,ELECTIVE,,,,,,4,,,12
