Curriculum,Molecular and Cell Biology,,,,,,,,,
Degree Plan,Molecular and Cell Biology/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.0406,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,BILD 4,BILD,4,,,,2,,,1
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
6,BILD 3,BILD,3,,,,4,,,2
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
7,MATH 11,MATH,11,4,,,5,,,3
9,CHEM 7L,CHEM,7L,5,,,4,,,3
8,CHEM 6C,CHEM,6C,5,,,4,,,3
12,CHEM 40A,CHEM,40A,5,,,4,,,4
10,PHYS 1A,PHYS,1A,1,,,3,,,4
11,PHYS 1AL,PHYS,1AL,1,,,2,,,4
13,BILD 1,BILD,1,,,,4,,,4
14,CHEM 40B,CHEM,40B,12,,,4,,,5
15,PHYS 1B,PHYS,1B,4;10;11,,,3,,,5
16,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,,5
17,PHYS 1C,PHYS,1C,7;15;16,,,3,,,6
18,PHYS 1CL,PHYS,1CL,7;15;16,,,2,,,6
19,BICD 100,BICD,100,13,,,4,,,6
20,BIBC 100,BIBC,100,12;14,,,4,,,7
21,CHEM 43A,CHEM,43A,9;12,,,4,,,7
22,BIBC 102,BIBC,102,12;14,,,4,,,8
23,BIMM 100,BIMM,100,13;3;12;14,,,4,,,8
24,BIBC 103 / BIMM 101,BIBC,103,13,,,4,,,9
25,BICD 110,BICD,110,20,,,4,,,9
31,UD BIOLOGY LAB,,,,,,4,,,10
32,UD MCB CORE 1,,,,,,4,,,10
33,UD MCB CORE 2,,,,,,4,,,11
34,UD MCB CORE 3,,,,,,4,,,11
35,UD BIOLOGY ELECTIVE 1,,,,,,4,,,12
36,UD BIOLOGY ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
37,SOCIAL SCIENCE / DEI,,,,,,4,,,1
26,HUM 1,HUM,1,,,,6,,,2
27,HUM 2,HUM,2,,,,6,,,3
28,HUM 3,HUM,3,26,,,4,,,4
29,HUM 4,HUM,4,,,,4,,,5
38,SOCIAL SCIENCE,,,,,,4,,,5
30,HUM 5,HUM,5,,,,4,,,6
39,FINE ARTS,,,,,,2,,,6
40,LANGUAGE 1,,,,,,5,,,7
41,UD ELECTIVE 1,,,,,,4,,,7
42,LANGUAGE 2,,,,,,5,,,8
43,LANGUAGE 3,,,,,,5,,,9
44,LANGUAGE 4,,,,,,5,,,10
45,UD ELECTIVE 2,,,,,,4,,,11
46,UD ELECTIVE 3,,,,,,4,,,12
