Curriculum,Biochemistry/Chemistry,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,26.0202,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 20B,MATH,20B,1,,,4,,
4,CHEM 6B,CHEM,6B,2;1,,,4,,
5,BILD 1,BILD,1,2,,,4,,
6,MATH 20C,MATH,20C,3,,,4,,
7,CHEM 6C,CHEM,6C,4,,,4,,
8,CHEM 7L / 7LM,CHEM,7L,4,,,4,,
9,CHEM 40A,CHEM,40A,4,,,4,,
10,PHYS 2A,PHYS,2A,1,,,4,,
11,MATH 20D,MATH,20D,6,,,4,,
12,CHEM 40B,CHEM,40B,9,,,4,,
13,PHYS 2B,PHYS,2B,10;1;3,,,4,,
14,CHEM 43AM / 43A,CHEM,43AM,8;9,,,4,,
15,CHEM 40C,CHEM,40C,12,,,4,,
16,PHYS 2C / 2D,PHYS,2C,10;1;3;6,,,4,,
17,PHYS 2CL,PHYS,2CL,10;13,,,2,,
18,CHEM 127 / 126,CHEM,127,,,,4,,
19,CHEM 114A,CHEM,114A,9,,,4,,
20,CHEM 100A,CHEM,100A,7;8,,,4,,
21,CHEM 114B,CHEM,114B,12,,,4,,
22,CHEM 126 / 127,CHEM,126,,,,4,,
23,CHEM 143B,CHEM,143B,14;12,,,4,,
24,CHEM 105A,CHEM,105A,20;17;18,,,4,,
25,CHEM 114C,CHEM,114C,19,,,4,,
27,BIOCHEM LAB,,,,,,6,,
26,CHEM 120A,CHEM,120A,7;9,,,4,,
28,BIOCHEM ELECTIVE 1,,,,,,4,,
29,CHEM ELECTIVE LAB,,,,,,4,,
30,CHEM OPEN ELECTIVE,,,,,,4,,
31,BIOCHEM ELECTIVE 2,,,,,,4,,
