Curriculum,Molecular Synthesis,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,40.0599,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,MATH 20A,MATH,20A,,,,4,,
2,CHEM 6A,CHEM,6A,,,,4,,
3,MATH 20B,MATH,20B,1,,,4,,
4,CHEM 6B,CHEM,6B,2;1,,,4,,
5,CHEM 6C,CHEM,6C,4,,,4,,
6,MATH 20C,MATH,20C,3,,,4,,
7,CHEM 7LM / 7L,CHEM,7LM,4,,,4,,
8,MATH 20D,MATH,20D,6,,,4,,
9,CHEM 40A,CHEM,40A,4,,,4,,
10,PHYS 2A,PHYS,2A,1,,,4,,
11,CHEM 40B,CHEM,40B,9,,,4,,
12,CHEM 43AM / 43A,CHEM,43AM,7;9,,,4,,
13,PHYS 2B,PHYS,2B,10;1;3,,,4,,
14,PHYS 2C / 2D,PHYS,2C,10;1;3;6,,,4,,
15,PHYS 2CL,PHYS,2CL,10;13,,,2,,
16,CHEM 40C,CHEM,40C,11,,,4,,
17,CHEM 120A,CHEM,120A,5;9,,,4,,
18,CHEM 126 / 127,CHEM,126,,,,4,,
19,CHEM 100A,CHEM,100A,5,,,4,,
20,CHEM 143B,CHEM,143B,12;11,,,4,,
21,CHEM 120B,CHEM,120B,17,,,4,,
22,CHEM 127 / 126,CHEM,127,,,,4,,
23,CHEM 105A,CHEM,105A,19;15;18,,,4,,
24,CHEM 143C / 143D,CHEM,143C,12;11,,,5,,
25,CHEM 152,CHEM,152,16,,,4,,
26,CHEM 154 / 156,CHEM,154,16,,,4,,
27,CHEM 114A,CHEM,114A,9,,,4,,
28,CHEM 125 / 157,CHEM,125,17,,,4,,
30,CHEM RESTRICTED ELECTIVE,,,,,,4,,
29,CHEM 123,CHEM,123,17;12;21,,,4,,
