Curriculum,Chinese Studies
Degree Plan,Chinese Studies/ Sixth
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,05.0123
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHIN 10A (M / D / N),CHIN,10A,,,,5,,,1
2,CHIN 10B (M / D / N),CHIN,10B,,,,5,,,2
3,CHIN 10C (M / D / N),CHIN,10C,,,,5,,,3
11,CHINESE STUDIES UD ELECTIVE 1,,,,,,4,,,3
12,CHINESE STUDIES UD ELECTIVE 2,,,,,,4,,,4
4,CHIN 20A (M / D / N),CHIN,20A,,,,4,,,4
13,CHINESE STUDIES UD ELECTIVE 3,,,,,,4,,,5
5,CHIN 20B (M / D / N),CHIN,20B,,,,4,,,5
14,CHINESE STUDIES UD ELECTIVE 4,,,,,,4,,,6
6,CHIN 20C (M / D / N),CHIN,20C,,,,4,,,6
15,CHINESE STUDIES UD ELECTIVE 5,,,,,,4,,,7
16,CHINESE STUDIES COLLOQUIUM,,,,,,4,,,7
17,CHINESE STUDIES UD ELECTIVE 6,,,,,,4,,,8
18,CHINESE STUDIES UD ELECTIVE 7,,,,,,4,,,8
19,CHINESE STUDIES UD ELECTIVE 8,,,,,,4,,,9
20,CHINESE STUDIES UD ELECTIVE 9,,,,,,4,,,9
21,CHINESE STUDIES UD ELECTIVE 10,,,,,,4,,,10
22,CHINESE STUDIES UD ELECTIVE 11,,,,,,4,,,11
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,CAT 1,CAT,1,,,,4,,,1
23,GE / DEI,,,,,,4,,,1
8,CAT 2,CAT,2,7,,,6,,,2
24,GE 1,,,,,,4,,,2
9,CAT 3,CAT,3,8,,,6,,,3
25,GE 2,,,,,,4,,,4
26,ELECTIVE 1,,,,,,4,,,4
27,GE 3,,,,,,4,,,5
28,ELECTIVE 2,,,,,,4,,,5
29,ELECTIVE 3,,,,,,4,,,6
30,ELECTIVE 4,,,,,,4,,,6
31,GE 4,,,,,,4,,,7
32,ELECTIVE 5,,,,,,1,,,7
33,ELECTIVE 6,,,,,,4,,,7
34,GE 5,,,,,,4,,,8
35,ELECTIVE 7,,,,,,4,,,8
36,GE 6,,,,,,4,,,9
37,ELECTIVE 8,,,,,,4,,,9
10,PRACTICUM / CAT 125 1,CAT,125,,,,4,,,10
38,GE 7,,,,,,4,,,10
39,GE 8,,,,,,4,,,10
40,PRACTICUM / CAT 125 2,CAT,125,,,,4,,,11
41,UD ELECTIVE,,,,,,4,,,11
42,ELECTIVE 9,,,,,,4,,,12
43,ELECTIVE 10,,,,,,4,,,12
44,ELECTIVE 11,,,,,,4,,,12
