Curriculum,Judaic Studies,,,,,,,,,
Degree Plan,Judaic Studies/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,38.0206,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,JUDA 1,JUDA,1,,,,5,,,1
2,JUDA 2,JUDA,2,1,,,5,,,2
3,JUDA 3,JUDA,3,2,,,5,,,3
4,JUDA 131,JUDA,131,,,,4,,,4
5,JUDA 101,JUDA,101,,,,4,,,4
6,JUDA 102,JUDA,102,5,,,4,,,5
7,HITO 104,HITO,104,10,,,4,,,5
8,HITO 105,HITO,105,,,,4,,,6
9,JUDA 103,JUDA,103,3,,,4,,,6
14,UD JS ELECTIVE 1,,,,,,4,,,7
15,UD JS ELECTIVE 2,,,,,,4,,,8
16,UD JS ELECTIVE 3,,,,,,4,,,9
17,UD JS ELECTIVE 4,,,,,,4,,,10
18,UD JS ELECTIVE 5,,,,,,4,,,11
19,UD JS ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
10,CAT 1,CAT,1,,,,4,,,1
20,GE 1,,,,,,4,,,1
21,GE 2,,,,,,4,,,1
11,CAT 2,CAT,2,10,,,6,,,2
22,GE 3,,,,,,4,,,2
12,CAT 3,CAT,3,11,,,6,,,3
23,GE 4,,,,,,4,,,3
24,GE 5,,,,,,4,,,4
25,ELECTIVE 1,,,,,,4,,,4
26,GE 6,,,,,,4,,,5
27,ELECTIVE 2,,,,,,4,,,5
28,GE 7,,,,,,4,,,6
29,ELECTIVE 3,,,,,,4,,,6
30,ELECTIVE 4,,,,,,4,,,7
13,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,7
31,GE 8,,,,,,4,,,7
32,ELECTIVE 5,,,,,,4,,,8
33,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,8
34,ELECTIVE 6,,,,,,4,,,8
35,UD ELECTIVE,,,,,,4,,,9
36,GE / DEI,,,,,,4,,,9
37,ELECTIVE 7,,,,,,4,,,9
38,ELECTIVE 8,,,,,,4,,,10
39,ELECTIVE 9,,,,,,4,,,10
40,ELECTIVE 10,,,,,,4,,,11
41,ELECTIVE 11,,,,,,3,,,11
42,ELECTIVE (2 / 4 UNITS),,,,,,2,,,11
43,ELECTIVE 12,,,,,,4,,,12
44,ELECTIVE 13,,,,,,4,,,12
