Curriculum,French Literature,,,,,,,,,
Degree Plan,French Literature/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.0901,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LIFR 1A,LIFR,1A,,,,2.5,,,1
2,LIFR 1AX,LIFR,1AX,,,,2.5,,,1
3,LIFR 1B,LIFR,1B,1;2,,,2.5,,,2
4,LIFR 1BX,LIFR,1BX,1;2,,,2.5,,,2
5,LIFR 1C,LIFR,1C,3;4,,,2.5,,,3
6,LIFR 1CX,LIFR,1CX,3;4,,,2.5,,,3
7,LTFR 2A,LTFR,2A,5;6,,,5,,,4
17,LD LTEN,,,,,,4,,,4
8,LTFR 2B,LTFR,2B,7,,,5,,,5
9,LTFR 2C,LTFR,2C,8,,,4,,,6
10,LTFR 50,LTFR,50,9,,,4,,,7
18,UD LITERATURE ELECTIVE 1,,,,,,4,,,7
11,LTFR 115,LTFR,115,10,,,4,,,8
19,UD LITERATURE ELECTIVE 2,,,,,,4,,,8
12,LTFR 116,LTFR,116,10,,,4,,,9
20,UD LTFR 1,,,,,,4,,,9
21,UD LITERATURE ELECTIVE 3,,,,,,4,,,9
22,UD LTFR 2,,,,,,4,,,10
23,UD LTFR 3,,,,,,4,,,10
24,UD LTFR 4,,,,,,4,,,11
25,UD LTFR 5,,,,,,4,,,11
26,UD LTFR 6,,,,,,4,,,12
27,UD LTFR 7,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,CAT 1,CAT,1,,,,4,,,1
28,GE 1,,,,,,4,,,1
29,GE 2,,,,,,4,,,1
14,CAT 2,CAT,2,13,,,6,,,2
30,GE 3,,,,,,4,,,2
15,CAT 3,CAT,3,14,,,6,,,3
31,GE 4,,,,,,4,,,3
32,GE 5,,,,,,4,,,4
33,GE / DEI,,,,,,4,,,4
34,GE 6,,,,,,4,,,5
35,GE 7,,,,,,4,,,5
36,ELECTIVE 1,,,,,,4,,,5
37,ELECTIVE 2,,,,,,4,,,6
38,ELECTIVE 3,,,,,,4,,,6
39,ELECTIVE 4,,,,,,4,,,6
40,ELECTIVE 5,,,,,,4,,,7
41,ELECTIVE 6,,,,,,4,,,7
42,GE 8,,,,,,4,,,8
43,ELECTIVE 7,,,,,,3,,,8
16,PRACTICUM / CAT 125 1,CAT,125,,,,4,,,9
44,PRACTICUM / CAT 125 2,CAT,125,,,,4,,,10
45,UD ELECTIVE,,,,,,4,,,11
46,ELECTIVE 8,,,,,,4,,,12
