Curriculum,Mathematics-Computer Science
Degree Plan,Mathematics-Computer Science/ ERC
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,30.0801
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
3,CSE 11,CSE,11,,,,4,,,1
4,MATH 20B,MATH,20B,1,,,4,,,2
2,MATH 18,MATH,18,,,,4,,,2
5,MATH 20C,MATH,20C,4,,,4,,,3
7,CSE 15L,CSE,15L,3,,,2,,,3
6,CSE 12,CSE,12,3,,,4,,,3
8,CSE 30,CSE,30,6;7,,,4,,,4
9,MATH 109,MATH,109,2;5,,,4,,,4
10,MATH 20D,MATH,20D,5,,,4,,,5
11,MATH 184A,MATH,184A,9,,,4,,,5
12,MATH 20E,MATH,20E,2;5,,,4,,,6
18,UD MAJOR 1,,,,,,4,,,7
19,UD MAJOR 2,,,,,,4,,,7
20,UD MAJOR 3,,,,,,4,,,8
21,UD MAJOR 4,,,,,,4,,,8
22,UD MAJOR 5,,,,,,4,,,9
23,UD MAJOR 6,,,,,,4,,,9
24,UD MAJOR 7,,,,,,4,,,10
25,UD MAJOR 8,,,,,,4,,,10
26,UD MAJOR 9,,,,,,4,,,11
27,UD MAJOR 10,,,,,,4,,,11
28,UD MAJOR 11,,,,,,4,,,12
29,UD MAJOR 12,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,MMW 11,MMW,11,,,,4,,,1
30,GE 1,,,,,,4,,,1
14,MMW 12,MMW,12,,,,6,,,2
31,GE 2,,,,,,4,,,2
15,MMW 13,MMW,13,14,,,6,,,3
16,MMW 14 / GE 1,MMW,14,14;15,,,4,,,4
32,GE / DEI,,,,,,4,,,4
33,MMW 14 / GE 2,MMW,14,14;15,,,4,,,5
34,ELECTIVE 1,,,,,,4,,,5
17,MMW 15,MMW,15,14;15,,,4,,,6
35,ELECTIVE 2,,,,,,4,,,6
36,GE 3,,,,,,4,,,6
37,GE 4,,,,,,4,,,7
38,GE 5,,,,,,4,,,7
39,GE 6,,,,,,4,,,8
40,GE 7,,,,,,4,,,8
41,ELECTIVE 3,,,,,,2,,,9
42,GE 8,,,,,,4,,,9
43,ELECTIVE 4,,,,,,4,,,10
44,ELECTIVE 5,,,,,,4,,,11
45,ELECTIVE 6,,,,,,4,,,12
