Curriculum,Visual Arts (Art History/Criticism),,,,,,,,,
Degree Plan,Visual Arts (Art History/Criticism)/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,50.0703,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,FOUNDATION LEVEL: HISTORY 1,,,,,,4,,,1
1,VIS 23,VIS,23,,,,4,,,1
2,VIS 22,VIS,22,,,,4,,,2
3,VIS 11,VIS,11,,,,4,,,2
10,FOUNDATION LEVEL: HISTORY 2,,,,,,4,,,3
11,FOUNDATION LEVEL: ART MAKING,,,,,,4,,,3
12,INTERMEDIATE LEVEL: A - E 1,,,,,,4,,,4
4,VIS 112,VIS,112,,,,4,,,5
13,INTERMEDIATE LEVEL: A - E 2,,,,,,4,,,6
14,INTERMEDIATE LEVEL: A - E 3,,,,,,4,,,7
15,INTERMEDIATE LEVEL: A - E 4,,,,,,4,,,7
16,INTERMEDIATE LEVEL: A - E 5,,,,,,4,,,8
17,INTERMEDIATE LEVEL: A - E 6,,,,,,4,,,9
18,ADVANCED LEVEL: THEORY,,,,,,4,,,10
19,ADVANCED LEVEL: ELECTIVE,,,,,,4,,,10
20,ADVANCED LEVEL: SEMINAR 1,,,,,,4,,,11
21,ADVANCED LEVEL: SEMINAR 2,,,,,,4,,,11
22,ADVANCED LEVEL: SEMINAR 3,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,CAT 1,CAT,1,,,,4,,,1
23,GE 1,,,,,,4,,,1
24,GE 2,,,,,,4,,,2
6,CAT 2,CAT,2,5,,,6,,,2
7,CAT 3,CAT,3,6,,,6,,,3
25,GE 3,,,,,,4,,,4
26,GE / DEI,,,,,,4,,,4
27,ELECTIVE 1,,,,,,4,,,4
28,GE 4,,,,,,4,,,5
29,GE 5,,,,,,4,,,5
30,ELECTIVE 2,,,,,,4,,,5
31,GE 6,,,,,,4,,,6
32,GE 7,,,,,,4,,,6
33,ELECTIVE 3,,,,,,4,,,6
34,ELECTIVE 4,,,,,,4,,,7
35,UD ELECTIVE,,,,,,4,,,7
8,PRACTICUM / CAT 125 1,CAT,125,,,,4,,,8
36,ELECTIVE 5,,,,,,4,,,8
37,ELECTIVE 6,,,,,,4,,,8
38,PRACTICUM / CAT 125 2,CAT,125,,,,4,,,9
39,ELECTIVE 7,,,,,,4,,,9
40,ELECTIVE 8,,,,,,4,,,9
41,ELECTIVE 9,,,,,,4,,,10
42,ELECTIVE 10,,,,,,4,,,11
43,ELECTIVE 11,,,,,,4,,,12
44,ELECTIVE 12,,,,,,4,,,12
