Curriculum,Cognitive Science,,,,,,,,,
Degree Plan,Cognitive Science/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,30.2501,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,COGS 10 / DSGN 1,COGS,10,,,,4,,,1
3,MATH 10B / 20B,MATH,10B,1,,,4,,,2
4,COGS 1,COGS,1,,,,4,,,2
5,IF MATH 10 SERIES THEN MATH 10C,MATH,10,,,,4,,,3
6,COGS 13,COGS,13,,,,4,,,3
7,IF MATH 20 SERIES / BS THEN MATH 18,MATH,20,,,,4,,,4
8,COGS 17,COGS,17,,,,4,,,4
9,COGS 14A,COGS,14A,,,,4,,,5
10,COGS 14B (BS),COGS,14B,9,,,4,,,6
11,COGS 18 / CSE (8A / 11) / MAE 8,COGS,18,,,,4,,,6
19,COGS CORE 1,,,,,,4,,,7
20,COGS CORE 2,,,,,,4,,,7
12,COGS CORE (BA) / COGS 108 (BS),COGS,108,11,,,4,,,8
21,COGS CORE 3,,,,,,4,,,8
13,COGS CORE (BA) / COGS 100 (BS),COGS,100,2,,,4,,,9
22,COGS CORE 4,,,,,,4,,,9
23,COGS UD ELECTIVE 1,,,,,,4,,,10
24,COGS UD ELECTIVE 2,,,,,,4,,,10
25,COGS UD ELECTIVE 3,,,,,,4,,,11
26,COGS UD ELECTIVE 4,,,,,,4,,,11
27,COGS UD ELECTIVE 5,,,,,,4,,,12
28,COGS UD ELECTIVE 6,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,MMW 11,MMW,11,,,,4,,,1
29,GE 1,,,,,,4,,,1
15,MMW 12,MMW,12,,,,6,,,2
16,MMW 13,MMW,13,15,,,6,,,3
17,MMW 14 / GE 1,MMW,14,15;16,,,4,,,4
30,GE 2,,,,,,4,,,4
31,MMW 14 / GE 2,MMW,14,15;16,,,4,,,5
32,GE 3,,,,,,4,,,5
33,ELECTIVE 1,,,,,,4,,,5
18,MMW 15,MMW,15,15;16,,,4,,,6
34,GE 4,,,,,,4,,,6
35,GE / DEI,,,,,,4,,,7
36,ELECTIVE 2,,,,,,4,,,7
37,GE 5,,,,,,4,,,8
38,ELECTIVE 3,,,,,,4,,,8
39,GE 6,,,,,,4,,,9
40,UD ELECTIVE,,,,,,4,,,9
41,GE 7,,,,,,4,,,10
42,ELECTIVE 4,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,11
44,ELECTIVE 6,,,,,,4,,,12
