Curriculum,Classical Studies
Degree Plan,Classical Studies/ Revelle
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.1200
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,LTGK 1 / LTLA 1,LTGK,1,,,,4,,,1
3,LTWL 19A,LTWL,19A,,,,4,,,1
5,LTWL 19B,LTWL,19B,,,,4,,,2
4,LTGK 2 / LTLA 2,LTGK,2,2,,,4,,,2
6,LTGK 3 / LTLA 3,LTGK,3,4,,,4,,,3
7,LTWL 19C,LTWL,19C,,,,4,,,3
15,UD LTGK / UD LTLA 1,,,,,,4,,,4
16,UD LTGK / UD LTLA 2,,,,,,4,,,5
17,UD LTGK / UD LTLA 3,,,,,,4,,,6
18,UD LTGK / UD LTLA 4,,,,,,4,,,7
19,UD LTGK / UD LTLA 5,,,,,,4,,,8
20,UD LTGK / UD LTLA 6,,,,,,4,,,9
21,UD LTGK / UD LTLA 7,,,,,,4,,,10
22,CS UD ELECTIVE 1,,,,,,4,,,10
23,UD LTGK / UD LTLA 8,,,,,,4,,,11
24,CS UD ELECTIVE 2,,,,,,4,,,11
25,UD LTGK / UD LTLA 9,,,,,,4,,,12
26,CS UD ELECTIVE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,MATH 10A,MATH,10A,,,,4,,,1
9,MATH 10B,MATH,10B,8,,,4,,,2
10,HUM 1,HUM,1,,,,6,,,2
27,MATH GE,,,,,,4,,,3
11,HUM 2,HUM,2,,,,6,,,3
28,CHEMISTRY GE,,,,,,4,,,4
12,HUM 3,HUM,3,10,,,4,,,4
29,NATURAL SCIENCE GE 1,,,,,,4,,,5
13,HUM 4,HUM,4,,,,4,,,5
30,NATURAL SCIENCE GE 2,,,,,,4,,,6
14,HUM 5,HUM,5,,,,4,,,6
31,BIOLOGY GE,,,,,,4,,,7
32,LANGUAGE 1,,,,,,5,,,7
33,ELECTIVE 1,,,,,,4,,,7
34,ELECTIVE 2,,,,,,4,,,8
35,PHYSICS GE,,,,,,4,,,8
36,LANGUAGE 2,,,,,,5,,,8
37,ELECTIVE 3,,,,,,4,,,9
38,SOCIAL SCIENCE / DEI,,,,,,4,,,9
39,LANGUAGE 3,,,,,,5,,,9
40,UD ELECTIVE 1,,,,,,4,,,10
41,LANGUAGE 4,,,,,,5,,,10
42,UD SOCIAL SCIENCE,,,,,,4,,,11
43,UD ELECTIVE 2,,,,,,4,,,11
44,FINE ARTS,,,,,,4,,,12
