Curriculum,Education Sciences,,,,,,,,,
Degree Plan,Education Sciences/ Muir,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,13.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
3,EDS FRESHMAN SEMINAR,,,,,,1,,,1
4,EDS LD,,,,,,2,,,4
1,EDS 102,EDS,102,,,,4,,,7
5,EDS UD 1,,,,,,4,,,7
2,EDS 103,EDS,103,,,,4,,,8
6,EDS UD 2,,,,,,4,,,8
7,EDS UD 3,,,,,,4,,,9
8,EDS UD 4,,,,,,4,,,9
9,EDS UD: INTRO TO LEARNING CONTEXTS,,,,,,6,,,10
10,EDS UD ELECTIVE 1,,,,,,4,,,10
11,EDS CAPSTONE 1,,,,,,6,,,11
12,EDS UD ELECTIVE 2,,,,,,4,,,11
13,EDS CAPSTONE 2,,,,,,6,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,GE / WRITING 1,,,,,,4,,,1
15,GE 1,,,,,,4,,,1
16,ELECTIVE 1,,,,,,4,,,1
17,GE / WRITING 2,,,,,,4,,,2
18,GE 2,,,,,,4,,,2
19,GE 3,,,,,,4,,,2
20,ELECTIVE 2,,,,,,4,,,2
21,GE 4,,,,,,4,,,3
22,GE 5,,,,,,4,,,3
23,ELECTIVE 3,,,,,,4,,,3
24,ELECTIVE 4,,,,,,4,,,3
25,GE 6,,,,,,4,,,4
26,GE 7,,,,,,4,,,4
27,ELECTIVE 5,,,,,,4,,,4
28,GE 8,,,,,,4,,,5
29,GE 9,,,,,,4,,,5
30,ELECTIVE 6,,,,,,4,,,5
31,ELECTIVE 7,,,,,,4,,,5
32,ELECTIVE 8,,,,,,4,,,6
33,ELECTIVE 9,,,,,,4,,,6
34,DEI,,,,,,4,,,6
35,GE 10,,,,,,4,,,6
36,GE 11,,,,,,4,,,7
37,GE 12,,,,,,4,,,7
38,ELECTIVE 10,,,,,,4,,,8
39,ELECTIVE 11,,,,,,4,,,8
40,ELECTIVE 12,,,,,,4,,,9
41,ELECTIVE 13,,,,,,4,,,9
42,MUIR UD ELECTIVE 1,,,,,,4,,,10
43,MUIR UD ELECTIVE 2,,,,,,4,,,11
44,MUIR UD ELECTIVE 3,,,,,,4,,,12
45,ELECTIVE 14,,,,,,4,,,12
