Curriculum,Education Sciences
Degree Plan,Education Sciences/ Marshall
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,13.0101
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,EDS FRESHMAN SEMINAR,,,,,,1,,,1
7,EDS LD,,,,,,2,,,4
1,EDS 102,EDS,102,,,,4,,,7
8,EDS UD 1,,,,,,4,,,7
2,EDS 103,EDS,103,,,,4,,,8
9,EDS UD 2,,,,,,4,,,8
10,EDS UD 3,,,,,,4,,,9
11,EDS UD 4,,,,,,4,,,9
12,EDS UD: INTRO TO LEARNING CONTEXTS,,,,,,6,,,10
13,EDS UD ELECTIVE 1,,,,,,4,,,10
14,EDS CAPSTONE 1,,,,,,6,,,11
15,EDS UD ELECTIVE 2,,,,,,4,,,11
16,EDS CAPSTONE 2,,,,,,6,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
3,DOC 1 / DEI,DOC,1,,,,4,,,1
17,GE 1,,,,,,4,,,1
18,GE 2,,,,,,4,,,1
19,GE 3,,,,,,4,,,1
20,ELECTIVE 1,,,,,,4,,,2
4,DOC 2,DOC,2,3,,,6,,,2
21,GE 4,,,,,,4,,,2
22,GE 5,,,,,,4,,,2
23,ELECTIVE 2,,,,,,4,,,3
5,DOC 3,DOC,3,,,,6,,,3
24,GE 6,,,,,,4,,,3
25,ELECTIVE 3,,,,,,4,,,3
26,ELECTIVE 4,,,,,,4,,,4
27,ELECTIVE 5,,,,,,4,,,4
28,GE 7,,,,,,4,,,4
29,ELECTIVE 6,,,,,,4,,,5
30,ELECTIVE 7,,,,,,4,,,5
31,ELECTIVE 8,,,,,,4,,,5
32,GE 8,,,,,,4,,,5
33,GE 9,,,,,,4,,,6
34,ELECTIVE 9,,,,,,4,,,6
35,ELECTIVE 10,,,,,,4,,,6
36,ELECTIVE 11,,,,,,4,,,6
37,UD GE 1,,,,,,4,,,7
38,ELECTIVE 12,,,,,,4,,,7
39,UD GE 2,,,,,,4,,,8
40,UD ELECTIVE,,,,,,4,,,9
41,ELECTIVE 13,,,,,,4,,,10
42,ELECTIVE 14,,,,,,4,,,11
43,ELECTIVE 15,,,,,,4,,,12
44,ELECTIVE 16,,,,,,3,,,12
