Curriculum,Environmental Systems (Earth Sciences),,,,,,,,,
Degree Plan,Environmental Systems (Earth Sciences)/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,03.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,CHEM 6A,CHEM,6A,,,,4,,,1
2,MATH 20A,MATH,20A,,,,4,,,1
3,BILD 3,BILD,3,,,,4,,,1
6,CHEM 6B,CHEM,6B,1;2,,,4,,,2
4,MATH 20B,MATH,20B,2,,,4,,,2
5,ECON 1,ECON,1,,,,4,,,2
8,CHEM 6C,CHEM,6C,6,,,4,,,3
7,MATH 20C,MATH,20C,4,,,4,,,3
9,SIO 50,SIO,50,,,,6,,,3
10,ESYS 101,ESYS,101,3,,,4,,,4
11,PHYS 2A,PHYS,2A,2;2,,,4,,,4
12,ESYS 102,ESYS,102,2;1;11,,,4,,,5
14,MATH 20D,MATH,20D,7,,,4,,,5
13,PHYS 2B,PHYS,2B,11;4,,,4,,,5
15,ESYS 103,ESYS,103,4;4;4,,,4,,,6
26,ESYS MAJOR ELECTIVE 1,,,,,,4,,,6
16,PHYS 2C,PHYS,2C,11;7,,,4,,,6
17,ECON 131,ECON,131,,,,4,,,7
18,POLI 160AA,POLI,160AA,,,,4,,,7
19,SIO 102,SIO,102,9;1;6;8,,,4,,,8
27,ESYS MAJOR ELECTIVE 2,,,,,,4,,,8
28,ESYS MAJOR ELECTIVE 3,,,,,,4,,,9
29,ESYS MAJOR ELECTIVE 4,,,,,,4,,,10
20,ESYS 190A 1,ESYS,190A,,,,4,,,10
30,ESYS 190A 2,ESYS,190A,,,,4,,,11
31,ESYS MAJOR ELECTIVE 5,,,,,,4,,,11
21,ESYS 190B,ESYS,190B,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
22,CAT 1,CAT,1,,,,4,,,1
23,CAT 2,CAT,2,22,,,6,,,2
24,CAT 3,CAT,3,23,,,6,,,3
32,GE 1,,,,,,4,,,4
33,ELECTIVE 1,,,,,,4,,,5
34,ELECTIVE 2,,,,,,4,,,6
35,ELECTIVE 3,,,,,,4,,,7
36,GE / DEI,,,,,,4,,,7
37,GE 2,,,,,,4,,,8
38,ELECTIVE 4,,,,,,4,,,8
39,GE 3,,,,,,4,,,9
40,ELECTIVE 5,,,,,,4,,,9
25,CAT 125,CAT,125,,,,4,,,10
41,GE 4,,,,,,4,,,11
42,ELECTIVE 6,,,,,,2,,,11
43,GE 5,,,,,,4,,,12
44,ELECTIVE 7,,,,,,4,,,12
