Curriculum,History,,,,,,,,,
Degree Plan,History/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,54.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
10,HILD 1,,,,,,4,,,1
11,HILD 2,,,,,,4,,,2
5,HUM 1,HUM,1,,,,6,,,2
12,HILD 3,,,,,,4,,,3
6,HUM 2,HUM,2,,,,6,,,3
7,HUM 3,HUM,3,5,,,4,,,4
13,HIUD 1,,,,,,4,,,7
14,HIUD 2,,,,,,4,,,7
15,HIUD 3,,,,,,4,,,8
16,HIUD 4,,,,,,4,,,8
17,HIUD 5,,,,,,4,,,9
18,HIUD 6,,,,,,4,,,9
19,HIUD 7,,,,,,4,,,10
20,HIUD 8,,,,,,4,,,10
21,HIUD 9,,,,,,4,,,11
22,HIUD 10,,,,,,4,,,11
23,HIUD 11,,,,,,4,,,12
24,HIUD 12,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A,MATH,10A,,,,4,,,1
2,CHEM 11,CHEM,11,,,,4,,,1
25,SOCIAL SCIENCE / DEI,,,,,,4,,,1
3,MATH 10B,MATH,10B,1,,,4,,,2
4,PHYS 10,PHYS,10,,,,4,,,2
26,MATH GE,,,,,,4,,,3
27,BIOLOGY GE,,,,,,4,,,3
28,ELECTIVE 1,,,,,,4,,,4
29,SOCIAL SCIENCE,,,,,,4,,,4
30,LANGUAGE 1,,,,,,5,,,4
8,HUM 4,HUM,4,,,,4,,,5
31,NATURAL SCIENCE GE 1,,,,,,4,,,5
32,LANGUAGE 2,,,,,,5,,,5
9,HUM 5,HUM,5,,,,4,,,6
33,NATURAL SCIENCE GE 2,,,,,,4,,,6
34,LANGUAGE 3,,,,,,5,,,6
35,LANGUAGE 4,,,,,,5,,,7
36,ELECTIVE 2,,,,,,4,,,7
37,FINE ARTS,,,,,,4,,,8
38,ELECTIVE 3,,,,,,4,,,8
39,ELECTIVE 4,,,,,,4,,,9
40,ELECTIVE 5,,,,,,4,,,9
41,UD ELECTIVE 1,,,,,,4,,,10
42,UD ELECTIVE 2,,,,,,4,,,11
43,UD ELECTIVE 3,,,,,,4,,,12
