Curriculum,Spanish Literature
Degree Plan,Spanish Literature/ Revelle
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.0905
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,LISP 1A,LISP,1A,,,,2.5,,,1
3,LISP 1AX,LISP,1AX,,,,2.5,,,1
4,LISP 1B,LISP,1B,2;3,,,2.5,,,2
5,LISP 1BX,LISP,1BX,2;3,,,2.5,,,2
6,LISP 1C,LISP,1C,4;5,,,2.5,,,3
7,LISP 1CX,LISP,1CX,4;5,,,2.5,,,3
8,LTSP 2A,LTSP,2A,6;7,,,5,,,4
19,LD LTEN,,,,,,4,,,4
9,LTSP 2B,LTSP,2B,8,,,5,,,5
10,LTSP 2C,LTSP,2C,9,,,4,,,6
20,UD LITERATURE ELECTIVE 1,,,,,,4,,,7
11,LTSP 50A / LTSP 50B / LTSP 50C 1,LTSP,50A,10,,,4,,,7
21,UD LITERATURE ELECTIVE 2,,,,,,4,,,8
22,LTSP 50A / LTSP 50B / LTSP 50C 2,LTSP,50A,10,,,4,,,8
23,UD LTSP 1,,,,,,4,,,9
24,UD LTSP 2,,,,,,4,,,9
25,UD LITERATURE ELECTIVE 3,,,,,,4,,,9
26,UD LTSP 3,,,,,,4,,,10
27,UD LTSP 4,,,,,,4,,,10
28,UD LTSP - PRE - 1900,,,,,,4,,,10
29,UD LTSP 5,,,,,,4,,,11
30,UD LTSP 6,,,,,,4,,,11
31,UD LTSP 7,,,,,,4,,,12
32,UD LTSP 8,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,MATH 10A,MATH,10A,,,,4,,,1
33,CHEMISTRY GE,,,,,,4,,,1
34,FINE ARTS,,,,,,3,,,1
13,MATH 10B,MATH,10B,12,,,4,,,2
14,HUM 1,HUM,1,,,,6,,,2
35,MATH GE,,,,,,4,,,3
15,HUM 2,HUM,2,,,,6,,,3
16,HUM 3,HUM,3,14,,,4,,,4
36,BIOLOGY GE,,,,,,4,,,4
37,SOCIAL SCIENCE,,,,,,4,,,5
17,HUM 4,HUM,4,,,,4,,,5
38,NATURAL SCIENCE GE 1,,,,,,4,,,5
39,DEI / SOCIAL SCIENCE,,,,,,4,,,6
18,HUM 5,HUM,5,,,,4,,,6
40,NATURAL SCIENCE GE 2,,,,,,4,,,6
41,PHYSICS GE,,,,,,4,,,7
42,ELECTIVE 1,,,,,,4,,,8
43,ELECTIVE 2,,,,,,4,,,8
44,ELECTIVE 3,,,,,,4,,,9
45,UD ELECTIVE 1,,,,,,4,,,11
46,UD ELECTIVE 2,,,,,,4,,,11
47,UD ELECTIVE 3,,,,,,4,,,12
