Curriculum,Spanish Literature
Degree Plan,Spanish Literature/ Marshall
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,16.0905
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,DOC 1 / DEI,DOC,1,,,,4,,,1
2,LISP 1A,LISP,1A,,,,2.5,,,1
3,LISP 1AX,LISP,1AX,,,,2.5,,,1
4,LISP 1B,LISP,1B,2;3,,,2.5,,,2
5,LISP 1BX,LISP,1BX,2;3,,,2.5,,,2
6,LISP 1C,LISP,1C,4;5,,,2.5,,,3
7,LISP 1CX,LISP,1CX,4;5,,,2.5,,,3
8,LTSP 2A,LTSP,2A,6;7,,,5,,,4
14,LD LTEN,,,,,,4,,,4
9,LTSP 2B,LTSP,2B,8,,,5,,,5
10,LTSP 2C,LTSP,2C,9,,,4,,,6
11,LTSP 50A / LTSP 50B / LTSP 50C 1,LTSP,50A,10,,,4,,,7
15,UD LITERATURE ELECTIVE 1,,,,,,4,,,7
16,LTSP 50A / LTSP 50B / LTSP 50C 2,LTSP,50A,10,,,4,,,8
17,UD LITERATURE ELECTIVE 2,,,,,,4,,,8
18,UD LTSP 1,,,,,,4,,,9
19,UD LITERATURE ELECTIVE 3,,,,,,4,,,9
20,UD LTSP 2,,,,,,4,,,9
21,UD LTSP 3,,,,,,4,,,10
22,UD LTSP 4,,,,,,4,,,10
23,UD LTSP - PRE - 1900,,,,,,4,,,10
24,UD LTSP 5,,,,,,4,,,11
25,UD LTSP 6,,,,,,4,,,11
26,UD LTSP 7,,,,,,4,,,12
27,UD LTSP 8,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
28,GE 1,,,,,,4,,,1
29,GE 2,,,,,,4,,,1
12,DOC 2,DOC,2,1,,,6,,,2
30,GE 3,,,,,,4,,,2
31,GE 4,,,,,,4,,,2
13,DOC 3,DOC,3,,,,6,,,3
32,GE 5,,,,,,4,,,3
33,GE 6,,,,,,4,,,3
34,GE 7,,,,,,4,,,4
35,GE 8,,,,,,4,,,4
36,GE 9,,,,,,4,,,5
37,GE 10,,,,,,4,,,5
38,ELECTIVE 1,,,,,,4,,,5
39,ELECTIVE 2,,,,,,4,,,6
40,ELECTIVE 3,,,,,,4,,,6
41,ELECTIVE 4,,,,,,4,,,6
42,UD GE 1,,,,,,4,,,7
43,UD ELECTIVE,,,,,,4,,,7
44,UD GE 2,,,,,,4,,,8
45,ELECTIVE 5,,,,,,4,,,11
46,ELECTIVE 6,,,,,,3,,,12
