Curriculum,Literature/Writing,,,,,,,,,
Degree Plan,Literature/Writing/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,23.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
12,LD LIT LANG 1,,,,,,5,,,1
13,LD LTEN / TWS 1,,,,,,4,,,1
14,LD LIT LANG 2,,,,,,5,,,2
15,LD LTEN / TWS 2,,,,,,4,,,2
16,LD LIT LANG 3,,,,,,5,,,3
2,LTEN 26,LTEN,26,,,,4,,,3
17,LD LIT LANG 4,,,,,,5,,,4
3,LTWR 8A / LTWR 8B / LTWR 8C 1,LTWR,8A,7;8,,,4,,,4
18,LD LIT LANG 5,,,,,,5,,,5
19,LTWR 8A / LTWR 8B / LTWR 8C 2,LTWR,8A,7;8,,,4,,,5
20,LD LIT LANG 6,,,,,,5,,,6
21,LTWR 8A / LTWR 8B / LTWR 8C 3,LTWR,8A,7;8,,,4,,,6
22,UD LTAM,,,,,,4,,,7
23,UD LIT ELECTIVE 1,,,,,,4,,,7
24,UD LTEU,,,,,,4,,,8
25,UD LTWR 1,,,,,,4,,,8
26,UD LTAF / UD LTAM / UD LTEA / UD LTEU / UD LTWL,,,,,,4,,,9
27,UD LTWR 2,,,,,,4,,,9
28,UD LTWR 3,,,,,,4,,,10
4,LTWR 14X,LTWR,14X,,,,4,,,10
29,UD LTWR 4,,,,,,4,,,11
30,UD LTWR 5,,,,,,4,,,11
31,UD LTWR 6,,,,,,4,,,12
32,UD LIT ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MATH 10A,MATH,10A,,,,4,,,1
6,MATH 10B,MATH,10B,5,,,4,,,2
7,HUM 1,HUM,1,,,,6,,,2
33,MATH GE,,,,,,4,,,3
8,HUM 2,HUM,2,,,,6,,,3
9,HUM 3,HUM,3,7,,,4,,,4
34,CHEMISTRY GE,,,,,,4,,,4
10,HUM 4,HUM,4,,,,4,,,5
35,NATURAL SCIENCE GE 1,,,,,,4,,,5
11,HUM 5,HUM,5,,,,4,,,6
36,NATURAL SCIENCE GE 2,,,,,,4,,,6
37,BIOLOGY GE,,,,,,4,,,7
38,PHYSICS GE,,,,,,4,,,8
39,DEI / SOCIAL SCIENCE,,,,,,4,,,9
40,FINE ARTS,,,,,,2,,,10
41,UD ELECTIVE 1,,,,,,4,,,10
42,UD ELECTIVE 2,,,,,,4,,,11
43,SOCIAL SCIENCE,,,,,,4,,,11
44,UD ELECTIVE 3,,,,,,4,,,12
