Curriculum,Literature/Writing,,,,,,,,,
Degree Plan,Literature/Writing/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,23.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,LD LTEN / TWS 1,,,,,,4,,,1
10,LD LIT LANG 1,,,,,,5,,,1
11,LD LTEN / TWS 2,,,,,,4,,,2
12,LD LIT LANG 2,,,,,,5,,,2
2,LTEN 26,LTEN,26,,,,4,,,3
13,LD LIT LANG 3,,,,,,5,,,3
3,LTWR 8A / LTWR 8B / LTWR 8C 1,LTWR,8A,6;7,,,4,,,4
14,LD LIT LANG 4,,,,,,5,,,4
15,LTWR 8A / LTWR 8B / LTWR 8C 2,LTWR,8A,6;7,,,4,,,5
16,LD LIT LANG 5,,,,,,5,,,5
17,LTWR 8A / LTWR 8B / LTWR 8C 3,LTWR,8A,6;7,,,4,,,6
18,LD LIT LANG 6,,,,,,5,,,6
19,UD LTAM,,,,,,4,,,7
20,UD LIT ELECTIVE 1,,,,,,4,,,7
21,UD LTEU,,,,,,4,,,8
22,UD LTWR 1,,,,,,4,,,8
23,UD LTAF / UD LTAM / UD LTEA / UD LTEU / UD LTWL,,,,,,4,,,9
24,UD LTWR 2,,,,,,4,,,9
4,LTWR 14X,LTWR,14X,,,,4,,,10
25,UD LTWR 3,,,,,,4,,,10
26,UD LTWR 4,,,,,,4,,,11
27,UD LTWR 5,,,,,,4,,,11
28,UD LTWR 6,,,,,,4,,,12
29,UD LIT ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,CAT 1,CAT,1,,,,4,,,1
30,GE 1,,,,,,4,,,1
6,CAT 2,CAT,2,5,,,6,,,2
31,GE 2,,,,,,4,,,2
7,CAT 3,CAT,3,6,,,6,,,3
32,GE 3,,,,,,4,,,3
33,GE / DEI,,,,,,4,,,4
34,GE 4,,,,,,4,,,4
35,GE 5,,,,,,4,,,5
36,ELECTIVE 1,,,,,,4,,,5
37,GE 6,,,,,,4,,,6
38,ELECTIVE 2,,,,,,2,,,6
39,UD ELECTIVE,,,,,,4,,,7
40,ELECTIVE 3,,,,,,4,,,7
8,PRACTICUM / CAT 125 1,CAT,125,,,,4,,,8
41,PRACTICUM / CAT 125 2,CAT,125,,,,4,,,9
42,ELECTIVE 4,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,11
44,ELECTIVE 6,,,,,,4,,,12
