Curriculum,Political Science/Data Analytics,,,,,,,,,
Degree Plan,Political Science/Data Analytics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.1099,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
8,LD POLI 1,,,,,,4,,,1
2,POLI 5(D),POLI,5,,,,4,,,2
3,POLI 30(D),POLI,30,,,,4,,,3
9,LD POLI 2,,,,,,4,,,4
10,UD POLI 1,,,,,,4,,,5
11,UD POLI / DATA ANALYTICS 1,,,,,,4,,,6
12,UD POLI 2,,,,,,4,,,7
13,UD POLI / DATA ANALYTICS 2,,,,,,4,,,7
14,UD POLI 3,,,,,,4,,,8
15,UD POLI / DATA ANALYTICS 3,,,,,,4,,,8
16,UD POLI 4,,,,,,4,,,9
17,UD POLI / DATA ANALYTICS 4,,,,,,4,,,9
18,UD POLI 5,,,,,,4,,,10
19,UD POLI / DATA ANALYTICS 5,,,,,,4,,,10
20,UD POLI 6,,,,,,4,,,11
21,UD POLI 7,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,CAT 1,CAT,1,,,,4,,,1
22,GE 1,,,,,,4,,,1
23,GE 2,,,,,,4,,,1
5,CAT 2,CAT,2,4,,,6,,,2
24,GE 3,,,,,,4,,,2
6,CAT 3,CAT,3,5,,,6,,,3
25,GE 4,,,,,,4,,,3
26,GE / DEI,,,,,,4,,,4
27,GE 5,,,,,,4,,,4
28,ELECTIVE 1,,,,,,4,,,4
29,GE 6,,,,,,4,,,5
30,GE 7,,,,,,4,,,5
31,ELECTIVE 2,,,,,,4,,,5
32,GE 8,,,,,,4,,,6
33,ELECTIVE 3,,,,,,4,,,6
34,ELECTIVE 4,,,,,,4,,,6
35,ELECTIVE 5,,,,,,4,,,7
36,ELECTIVE 6,,,,,,4,,,7
37,ELECTIVE 7,,,,,,4,,,8
38,ELECTIVE 8,,,,,,4,,,8
7,CAT 125 / PRACTICUM 1,CAT,125,,,,4,,,9
39,ELECTIVE 9,,,,,,4,,,9
40,CAT 125 / PRACTICUM 2,CAT,125,,,,4,,,10
41,ELECTIVE 10,,,,,,4,,,10
42,UD ELECTIVE,,,,,,4,,,11
43,ELECTIVE 11,,,,,,4,,,11
44,ELECTIVE 12,,,,,,4,,,12
45,ELECTIVE 13,,,,,,4,,,12
