Curriculum,Structural Engineering,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Quarter,,,,,,,,
CIP,14.0803,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,SE 1,SE,1,,,,4,,
2,MATH 20A,MATH,20A,,,,4,,
3,CHEM 6A,CHEM,6A,,,,4,,
30,GE 1,,,,,,4,,
4,MATH 20B,MATH,20B,2,,,4,,
5,PHYS 2A,PHYS,2A,2,,,4,,
6,SE 3,SE,3,1,,,4,,
7,MATH 20C,MATH,20C,4,,,4,,
8,PHYS 2B,PHYS,2B,5;2;4,,,4,,
9,PHYS 2BL,PHYS,2BL,5,,,2,,
10,MATH 20D,MATH,20D,7,,,4,,
11,PHYS 2C,PHYS,2C,5;7,,,4,,
12,PHYS 2CL,PHYS,2CL,5;8,,,2,,
13,SE 101A,SE,101A,5;7,,,4,,
14,MATH 18,MATH,18,,,,4,,
31,GE 2,,,,,,4,,
15,SE 110A,SE,110A,13;10,,,4,,
16,SE 101B,SE,101B,13,,,4,,
17,MATH 20E,MATH,20E,14;7,,,4,,
18,SE 9,SE,9,10;14,,,4,,
19,SE 110B,SE,110B,15,,,4,,
20,SE 104,SE,104,1;13,,,4,,
21,SE 104L,SE,104L,,,,1,,
22,SE 101C,SE,101C,16;14,,,4,,
23,SE 121A,SE,121A,,,,4,,
24,SE 130A,SE,130A,15,,,4,,
32,GE 3,,,,,,4,,
33,FOCUS SEQUENCE 1,,,,,,4,,
25,SE 121B,SE,121B,,,,4,,
26,SE 115,SE,115,5;10,,,4,,
34,GE 4,,,,,,4,,
35,FOCUS SEQUENCE 2,,,,,,4,,
27,SE 131,SE,131,,,,4,,
28,SE 130B,SE,130B,24,,,4,,
36,GE 5,,,,,,4,,
37,TECHNICAL ELECTIVE 1,,,,,,4,,
38,FOCUS SEQUENCE 3,,,,,,4,,
29,SE 125,SE,125,10;14,,,4,,
39,TECHNICAL ELECTIVE 2,,,,,,4,,
40,FOCUS SEQUENCE 4,,,,,,4,,
41,FOCUS SEQUENCE CAPSTONE 1,,,,,,4,,
42,TECHNICAL ELECTIVE 3,,,,,,4,,
43,FOCUS SEQUENCE CAPSTONE 2,,,,,,4,,
