Curriculum,Anthropology (Concentration in Archaeology)
Degree Plan,Anthropology (Concentration in Archaeology)/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,45.0299
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ANTH 101: FOUNDATIONS OF SOCIAL COMPLEXITY,ANTH,101,,,,4,,,7
9,ANAR CONC ELECTIVE 1,,,,,,4,,,7
2,ANTH 102: HUMAN ARE CULTURAL ANIMALS,ANTH,102,,,,4,,,8
10,ANAR CONC ELECTIVE 2,,,,,,4,,,8
11,ANAR CONC ELECTIVE 3,,,,,,4,,,9
3,ANTH 103: SOCIOCULTURAL ANTHRO,ANTH,103,,,,4,,,9
12,ANTH UD ELECTIVE 1,,,,,,4,,,10
13,ANAR CONC ELECTIVE 4,,,,,,4,,,10
14,ANTH UD ELECTIVE 2,,,,,,4,,,11
15,ANTH UD ELECTIVE 3,,,,,,4,,,11
16,ANTH UD ELECTIVE 4,,,,,,4,,,12
17,ANTH UD ELECTIVE 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,MMW 11,MMW,11,,,,4,,,1
18,GE 1,,,,,,4,,,1
19,GE 2,,,,,,4,,,1
20,GE 3,,,,,,4,,,1
5,MMW 12,MMW,12,,,,6,,,2
21,GE 4,,,,,,4,,,2
22,GE 5,,,,,,4,,,2
6,MMW 13,MMW,13,5,,,6,,,3
23,GE 6,,,,,,4,,,3
24,GE 7,,,,,,4,,,3
7,MMW 14 / GE 1,MMW,14,5;6,,,4,,,4
25,GE 8,,,,,,4,,,4
26,GE 9,,,,,,4,,,4
27,GE / DEI,,,,,,4,,,4
28,MMW 14 / GE 2,MMW,14,5;6,,,4,,,5
29,GE 10,,,,,,4,,,5
30,ELECTIVE 1,,,,,,4,,,5
31,ELECTIVE 2,,,,,,4,,,5
8,MMW 15,MMW,15,5;6,,,4,,,6
32,ELECTIVE 3,,,,,,4,,,6
33,ELECTIVE 4,,,,,,4,,,6
34,ELECTIVE 5,,,,,,4,,,6
35,UD ELECTIVE,,,,,,4,,,7
36,ELECTIVE 6,,,,,,4,,,7
37,ELECTIVE 7,,,,,,4,,,8
38,ELECTIVE 8,,,,,,4,,,8
39,ELECTIVE 9,,,,,,4,,,9
40,ELECTIVE 10,,,,,,4,,,9
41,ELECTIVE 11,,,,,,4,,,10
42,ELECTIVE 12,,,,,,4,,,10
43,ELECTIVE 13,,,,,,4,,,11
44,ELECTIVE 14,,,,,,4,,,12
