Curriculum,Biological Anthropology,,,,,,,,,
Degree Plan,Biological Anthropology/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,45.0299,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BILD 1,BILD,1,,,,4,,,1
2,MATH 10A / 20A,MATH,10A,,,,4,,,1
3,BILD 2,BILD,2,1,,,4,,,2
4,MATH 10B / 20B,MATH,10B,2,,,4,,,2
5,MATH 11 / PSYC 60,MATH,11,4,,,4,,,3
6,ANTH 2,ANTH,2,,,,4,,,3
7,CHEM 6A,CHEM,6A,,,,4,,,4
8,CHEM 6B,CHEM,6B,7;2,,,4,,,5
9,ANTH 5 / ANTH 42 / ANTH 43 / SOCI 70 / PSYC 1,ANTH,5,,,,4,,,5
10,CHEM 6C,CHEM,6C,8,,,4,,,6
17,ANBI CONCENTRATION COURSE 1,,,,,,4,,,7
11,ANTH 101,ANTH,101,,,,4,,,7
18,ANBI CONCENTRATION COURSE 2,,,,,,4,,,8
12,ANTH 102,ANTH,102,,,,4,,,8
19,ANBI CONCENTRATION COURSE 3,,,,,,4,,,9
13,ANTH 103,ANTH,103,,,,4,,,9
20,ANBI CONCENTRATION COURSE 4,,,,,,4,,,10
21,UPPER DIVISION METHODS COURSE (ANBI),,,,,,4,,,10
22,"UPPER DIVISION ELECTIVE (ANTH, ANSC, ANBI, ANAR) 1",,,,,,4,,,11
23,"UPPER DIVISION ELECTIVE (ANTH, ANSC, ANBI, ANAR) 2",,,,,,4,,,11
24,"UPPER DIVISION ELECTIVE (ANTH, ANSC, ANBI, ANAR) 3",,,,,,4,,,12
25,"UPPER DIVISION ELECTIVE (ANTH, ANSC, ANBI, ANAR) 4",,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
14,DOC 1 / DEI,DOC,1,,,,4,,,1
26,GE 1,,,,,,4,,,1
15,DOC 2,DOC,2,14,,,6,,,2
16,DOC 3,DOC,3,15,,,6,,,3
27,GE 2,,,,,,4,,,4
28,GE 3,,,,,,4,,,4
29,ELECTIVE 1,,,,,,4,,,4
30,GE 4,,,,,,4,,,5
31,ELECTIVE 2,,,,,,4,,,5
32,GE 5,,,,,,4,,,6
33,GE 6,,,,,,4,,,6
34,ELECTIVE 3,,,,,,4,,,6
35,UD GE 1,,,,,,4,,,7
36,UD GE 2,,,,,,4,,,8
37,UD ELECTIVE,,,,,,4,,,9
38,ELECTIVE 4,,,,,,4,,,9
39,ELECTIVE 5,,,,,,4,,,10
40,ELECTIVE 6,,,,,,4,,,10
41,ELECTIVE 7,,,,,,4,,,11
42,ELECTIVE 8,,,,,,4,,,11
43,ELECTIVE 9,,,,,,4,,,12
44,ELECTIVE 10,,,,,,4,,,12
