Curriculum,"Ecology, Behavior and Evolution"
Degree Plan,"Ecology, Behavior and Evolution/ Seventh"
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,26.1399
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
3,BILD 4,BILD,4,,,,2,,,1
5,CHEM 6B,CHEM,6B,2;1,,,4,,,2
4,MATH 10B / 20B,MATH,10B,1,,,4,,,2
6,BILD 3,BILD,3,,,,4,,,2
8,CHEM 6C,CHEM,6C,5,,,4,,,3
7,MATH 11,MATH,11,4,,,5,,,3
9,BILD 1,BILD,1,,,,4,,,3
12,BIEB 102,BIEB,102,6,,,4,,,4
10,PHYS 1A,PHYS,1A,1,,,3,,,4
11,PHYS 1AL,PHYS,1AL,1,,,2,,,4
14,PHYS 1B,PHYS,1B,4;10,,,3,,,5
15,PHYS 1BL,PHYS,1BL,4;10;11,,,2,,,5
16,BIEB 150,BIEB,150,6;9,,,4,,,5
13,BILD 2,BILD,2,9,,,4,,,5
17,PHYS 1C,PHYS,1C,4;14,,,3,,,6
18,PHYS 1CL,PHYS,1CL,4;14;15,,,2,,,6
19,BICD 100,BICD,100,9;6,,,4,,,6
23,UD EBE LAB,,,,,,4,,,7
24,UD EBE CORE 1,,,,,,4,,,7
25,UD BIOLOGY LAB,,,,,,4,,,8
26,UD EBE CORE 2,,,,,,4,,,8
27,UD BIOLOGY ELECTIVE 1,,,,,,4,,,9
28,UD EBE CORE 3,,,,,,4,,,9
29,UD EBE CORE 4,,,,,,4,,,10
30,UD BIOLOGY ELECTIVE 2,,,,,,4,,,11
31,UD BIOLOGY ELECTIVE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
32,ALTERNATIVE 1,,,,,,4,,,1
20,SYN 1,SYN,1,,,,4,,,2
33,ALTERNATIVE 2,,,,,,4,,,3
34,DEI,,,,,,4,,,4
21,SYN 2,SYN,2,20,,,4,,,4
35,ALTERNATIVE 3,,,,,,4,,,5
36,ALTERNATIVE 4,,,,,,4,,,6
37,ELECTIVE 1,,,,,,4,,,6
38,ALTERNATIVE 5,,,,,,4,,,7
39,ELECTIVE 2,,,,,,4,,,7
40,ALTERNATIVE 6,,,,,,4,,,8
41,ELECTIVE 3,,,,,,4,,,8
22,SYN 100,SYN,100,20;21,,,4,,,9
42,ELECTIVE 4,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,10
44,HIGH - IMPACT,,,,,,2,,,10
45,UD ELECTIVE 1,,,,,,4,,,11
46,ELECTIVE 6,,,,,,4,,,11
47,UD ELECTIVE 2,,,,,,4,,,12
48,ELECTIVE 7,,,,,,4,,,12
