Curriculum,Chemistry
Degree Plan,Chemistry/ Seventh
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,40.0501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
4,CHEM 6B,CHEM,6B,2;1,,,4,,,2
3,MATH 20B,MATH,20B,1,,,4,,,2
6,CHEM 6C,CHEM,6C,4,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,CHEM 7LM / 7L,CHEM,7LM,4,,,4,,,3
8,CHEM 40A,CHEM,40A,4,,,4,,,4
10,PHYS 2A,PHYS,2A,1;1,,,4,,,4
9,MATH 20D,MATH,20D,5,,,4,,,4
11,CHEM 40B,CHEM,40B,8,,,4,,,5
13,PHYS 2B,PHYS,2B,10;3,,,4,,,5
12,CHEM 43AM / 43A,CHEM,43AM,7;8,,,4,,,5
16,CHEM 40C,CHEM,40C,11,,,4,,,6
14,PHYS 2C / 2D,PHYS,2C,10;5,,,4,,,6
15,PHYS 2BL / 2CL / 2DL,PHYS,2BL,10,,,2,,,6
17,CHEM 130,CHEM,130,6;14;9,,,4,,,7
18,CHEM 100A,CHEM,100A,6,,,4,,,7
19,CHEM 120A,CHEM,120A,6;8,,,4,,,7
21,CHEM 131,CHEM,131,6;14;5,,,4,,,8
22,CHEM 143B,CHEM,143B,12;11,,,4,,,8
20,CHEM 120B,CHEM,120B,19,,,4,,,8
24,CHEM 132,CHEM,132,17;21,,,4,,,9
23,CHEM 105A,CHEM,105A,18;15;17,,,4,,,9
25,CHEM 114A,CHEM,114A,8,,,4,,,10
29,CHEM ELECTIVE LAB 1,,,,,,4,,,10
30,CHEM ELECTIVE 1,,,,,,4,,,11
31,CHEM ELECTIVE LAB 2,,,,,,4,,,11
32,CHEM ELECTIVE 2,,,,,,4,,,12
33,CHEM ELECTIVE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
34,DEI,,,,,,4,,,1
35,ALTERNATIVE 1,,,,,,4,,,1
26,SYN 1,SYN,1,,,,4,,,2
36,ALTERNATIVE 2,,,,,,4,,,2
37,ALTERNATIVE 3,,,,,,4,,,3
27,SYN 2,SYN,2,26,,,4,,,4
38,ALTERNATIVE 4,,,,,,4,,,5
39,ALTERNATIVE 5,,,,,,4,,,6
40,ALTERNATIVE 6,,,,,,4,,,7
41,ELECTIVE 1,,,,,,4,,,8
28,SYN 100,SYN,100,26;27,,,4,,,9
42,ELECTIVE 2,,,,,,4,,,9
43,ELECTIVE 3,,,,,,4,,,10
44,HIGH - IMPACT,,,,,,2,,,10
45,ELECTIVE 4,,,,,,4,,,11
46,ELECTIVE 5,,,,,,4,,,12
