Curriculum,Electrical Engineering
Degree Plan,Electrical Engineering/ Seventh
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,14.1001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
3,ECE 5,ECE,5,,,,4,,,1
2,ECE 15,ECE,15,,,,4,,,1
1,MATH 20A,MATH,20A,,,,4,,,1
6,ECE 25,ECE,25,,,,4,,,2
5,CHEM 6A,CHEM,6A,,,,4,,,2
4,MATH 18,MATH,18,,,,4,,,2
8,ECE 30,ECE,30,2;6,,,4,,,3
9,PHYS 2A,PHYS,2A,1;1,,,4,,,3
7,MATH 20B,MATH,20B,1,,,4,,,3
12,ECE 35,ECE,35,4;1;7;9,,,4,,,4
11,MATH 20C,MATH,20C,7,,,4,,,4
10,PHYS 2B,PHYS,2B,9;7,,,4,,,4
14,ECE 45,ECE,45,12,,,4,,,5
15,MATH 20D,MATH,20D,11,,,4,,,5
13,PHYS 2C,PHYS,2C,9;11,,,4,,,5
16,PHYS 2D,PHYS,2D,9;10;15,,,4,,,6
18,ECE 65,ECE,65,12,,,4,,,6
17,MATH 20E,MATH,20E,4;11,,,4,,,6
21,ECE 100,ECE,100,14;18,,,4,,,7
19,ECE 101,ECE,101,14,,,4,,,7
20,ECE 103,ECE,103,18;16;16,,,4,,,7
22,ECE 102,ECE,102,18;21,,,4,,,8
24,ECE 107,ECE,107,9;10;13;14,,,4,,,8
23,ECE 109,ECE,109,1;7;11;15;4,,,4,,,8
28,DEPTH 1,,,,,,4,,,9
29,PROFESSIONAL ELECTIVE 1,,,,,,4,,,9
30,TECHNICAL ELECTIVE 1,,,,,,4,,,9
31,DEPTH 2,,,,,,4,,,10
32,DEPTH 3,,,,,,4,,,10
33,PROFESSIONAL ELECTIVE 2,,,,,,4,,,10
34,DESIGN,,,,,,4,,,11
35,TECHNICAL ELECTIVE 2,,,,,,4,,,11
36,TECHNICAL ELECTIVE 3,,,,,,4,,,11
37,TECHNICAL ELECTIVE 4,,,,,,4,,,12
38,TECHNICAL ELECTIVE 5,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
39,ALTERNATIVE 1,,,,,,4,,,1
25,SYN 1,SYN,1,,,,4,,,2
40,ALTERNATIVE 2,,,,,,4,,,3
26,SYN 2,SYN,2,25,,,4,,,4
41,ALTERNATIVE 3,,,,,,4,,,5
42,ALTERNATIVE 4,,,,,,4,,,6
43,ALTERNATIVE 5,,,,,,4,,,7
44,ALTERNATIVE 6,,,,,,4,,,8
27,SYN 100,SYN,100,25;26,,,4,,,9
45,HIGH - IMPACT,,,,,,2,,,10
46,DEI,,,,,,4,,,12
