Curriculum,Human Developmental Sciences
Degree Plan,Human Developmental Sciences/ ERC
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,19.0701
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
5,MMW 11,MMW,11,,,,4,,,1
10,LD MAJOR PREP 1,,,,,,4,,,1
11,LD MAJOR PREP 2,,,,,,4,,,1
6,MMW 12,MMW,12,,,,6,,,2
12,LD MAJOR PREP 3,,,,,,4,,,2
13,LD MAJOR PREP 4,,,,,,4,,,2
14,LD MAJOR PREP 5,,,,,,4,,,3
1,HDS 1,HDS,1,,,,4,,,4
15,HDS CORE COURSE 1,,,,,,4,,,5
16,HDS CORE COURSE 2,,,,,,4,,,5
17,HDS CORE COURSE 3,,,,,,4,,,6
18,HDS CORE COURSE 4,,,,,,4,,,6
19,HDS DEVELOPMENTCOURSE 1,,,,,,4,,,7
20,LD HDS STATISTICS,,,,,,4,,,7
21,HDS DEVELOPMENTCOURSE 2,,,,,,4,,,8
22,HDS DEVELOPMENTCOURSE 3,,,,,,4,,,8
23,HDS DEVELOPMENTCOURSE 4,,,,,,4,,,9
2,HDS 181,HDS,181,1,,,6,,,9
3,HDS 191,HDS,191,1;2,,,6,,,10
24,HDS DEVELOPMENTCOURSE 5,,,,,,4,,,11
4,HDS 150,HDS,150,2,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,GE 1,,,,,,4,,,1
7,MMW 13,MMW,13,6,,,6,,,3
26,GE 2,,,,,,4,,,3
8,MMW 14 / GE 1,MMW,14,6;7,,,4,,,4
27,GE 3,,,,,,4,,,4
28,GE / DEI,,,,,,4,,,4
29,MMW 14 / GE 2,MMW,14,6;7,,,4,,,5
30,ELECTIVE 1,,,,,,4,,,5
9,MMW 15,MMW,15,6;7,,,4,,,6
31,ELECTIVE 2,,,,,,4,,,6
32,GE 4,,,,,,4,,,7
33,ELECTIVE 3,,,,,,4,,,7
34,GE 5,,,,,,4,,,8
35,ELECTIVE 4,,,,,,4,,,8
36,GE 6,,,,,,4,,,9
37,ELECTIVE 5,,,,,,4,,,9
38,UD ELECTIVE,,,,,,4,,,10
39,ELECTIVE 6,,,,,,4,,,10
40,ELECTIVE 7,,,,,,4,,,11
41,ELECTIVE 8,,,,,,4,,,11
42,ELECTIVE 9,,,,,,4,,,12
43,ELECTIVE 10,,,,,,4,,,12
