Curriculum,Physics with Specialization in Earth Science,,,,,,,,,
Degree Plan,Physics with Specialization in Earth Science/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,PHYS 4A,PHYS,4A,1,,,4,,,2
30,PROGRAMMING,,,,,,4,,,3
6,PHYS 4B,PHYS,4B,4;3,,,4,,,3
5,MATH 20C,MATH,20C,3,,,4,,,3
7,MATH 20E,MATH,20E,2;5,,,4,,,4
8,PHYS 4C,PHYS,4C,4;6;5;2,,,4,,,4
11,PHYS 2CL,PHYS,2CL,4;8,,,2,,,5
9,MATH 20D,MATH,20D,5,,,4,,,5
10,PHYS 4D,PHYS,4D,4;8;6;1;3;5;7;2,,,4,,,5
13,PHYS 4E,PHYS,4E,4;6;8;10;1;3;5;9;7;2,,,4,,,6
12,SIO 50,SIO,50,,,,6,,,6
15,PHYS 110A,PHYS,110A,4;6;8;10;1;3;5;9;7;2,,,4,,,7
14,PHYS 100A,PHYS,100A,4;6;8;10;1;3;5;9;7;2,,,4,,,7
16,PHYS 2DL,PHYS,2DL,11,,,2,,,7
18,PHYS 105A,PHYS,105A,8;6;10;13;1;3;5;9;7;2,,,4,,,8
17,PHYS 100B,PHYS,100B,14;1;3;5;9;7;2,,,4,,,8
19,PHYS 130A,PHYS,130A,13;14;15,,,4,,,9
20,PHYS 120,PHYS,120,4;8;6;11,,,5,,,9
22,PHYS 140A,PHYS,140A,19,,,4,,,10
31,PHYS UD RE 1,,,,,,4,,,10
21,PHYS 130B,PHYS,130B,19;17,,,4,,,10
23,SIO 103,SIO,103,5;12,,,4,,,11
32,PHYS UD RE 2,,,,,,4,,,11
33,PHYS UD LAB,,,,,,4,,,11
34,PHYS UD RE 3,,,,,,4,,,12
24,SIO 182,SIO,182,9,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
35,CHEMISTRY GE,,,,,,4,,,1
25,HUM 1,HUM,1,,,,6,,,2
26,HUM 2,HUM,2,,,,6,,,3
27,HUM 3,HUM,3,25,,,4,,,4
36,BIOLOGY GE,,,,,,4,,,4
28,HUM 4,HUM,4,,,,4,,,5
29,HUM 5,HUM,5,,,,4,,,6
37,SOCIAL SCIENCE GE 1,,,,,,4,,,6
38,LANGUAGE 1,,,,,,5,,,7
39,LANGUAGE 2,,,,,,5,,,8
40,SOCIAL SCIENCE GE 2,,,,,,4,,,8
41,LANGUAGE 3,,,,,,5,,,9
42,FINE ARTS GE,,,,,,2,,,9
43,LANGUAGE 4,,,,,,5,,,10
44,UD DEI,,,,,,4,,,12
