Curriculum,International Studies-Linguistics
Degree Plan,International Studies-Linguistics/ Marshall
Institution,"University of California, San Diego"
Degree Type,BA
System Type,Quarter
CIP,30.2001
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
7,LANGUAGE 1,,,,,,5,,,1
8,LANGUAGE 2,,,,,,5,,,2
9,LANGUAGE 3,,,,,,5,,,3
10,LANGUAGE 4,,,,,,5,,,4
1,INTL 101 / 102 1,INTL,101,4,,,4,,,5
11,INTL 101 / 102 2,INTL,101,4,,,4,,,6
12,EAP / OAP (RECOMMENDED),,,,,,16,,,7
13,DF2 - LINGUISTICS,,,,,,4,,,8
14,IE1 - INTERDISC ELECTIVE (RR1),,,,,,4,,,8
2,DF1 - LINGUISTICS (LIGN 101),LIGN,101,,,,4,,,8
15,DF4 - LINGUISTICS,,,,,,4,,,9
16,DF3 - LINGUISTICS (RR2),,,,,,4,,,9
17,IE2 - INTERDISC ELECTIVE,,,,,,4,,,9
18,DF5 - LINGUISTICS (RR3),,,,,,4,,,10
3,INTL 190,INTL,190,1,,,4,,,10
19,IE3 - INTERDISC ELECTIVE,,,,,,4,,,11
20,DF6 - LINGUISTICS,,,,,,4,,,11
21,DF7 - LINGUISTICS,,,,,,4,,,12
22,DF8 - LINGUISTICS,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
4,DOC 1,DOC,1,,,,4,,,1
23,GE 1,,,,,,4,,,1
24,GE 2,,,,,,4,,,1
5,DOC 2,DOC,2,4,,,6,,,2
25,GE 3,,,,,,4,,,2
26,GE 4,,,,,,4,,,2
6,DOC 3,DOC,3,5,,,6,,,3
27,GE 5,,,,,,4,,,3
28,GE 6,,,,,,4,,,3
29,GE 7,,,,,,4,,,4
30,GE 8,,,,,,4,,,4
31,ELECTIVE 1,,,,,,4,,,4
32,GE 9,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,5
34,GE 10,,,,,,4,,,6
35,ELECTIVE 3,,,,,,4,,,6
36,UD GE 1,,,,,,4,,,8
37,UD GE 2,,,,,,4,,,9
38,ELECTIVE 4,,,,,,4,,,10
39,ELECTIVE 5,,,,,,4,,,11
40,ELECTIVE 6,,,,,,4,,,12
