Curriculum,Public Health with Concentration in Community Health Sciences,,,,,,,,,
Degree Plan,Public Health with Concentration in Community Health Sciences/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,51.2208,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
13,SBE 1,,,,,,4,,,1
1,FMPH 40,FMPH,40,,,,4,,,1
2,BILD 3,BILD,3,,,,4,,,2
14,SBE 2,,,,,,4,,,2
3,FMPH 50,FMPH,50,,,,4,,,3
15,LD BIOLOGY 1,,,,,,4,,,3
16,LD BIOLOGY 2,,,,,,4,,,4
4,FMPH 110,FMPH,110,1,,,4,,,5
17,STATISTICS (QUANTITATIVE METHODS),,,,,,4,,,6
5,FMPH 101 / FMPH 102 1,FMPH,101,1,,,4,,,7
18,CONCENTRATION UDE 1,,,,,,4,,,7
19,FMPH 101 / FMPH 102 2,FMPH,101,1,,,4,,,8
6,USP 143,USP,143,,,,4,,,8
7,FMPH 120 / FMPH 130 1,FMPH,120,1,,,4,,,9
20,CONCENTRATION UDE 2,,,,,,4,,,9
21,FMPH 120 / FMPH 130 2,FMPH,120,1,,,4,,,10
22,FMPH UDE,,,,,,4,,,10
8,FMPH 193,FMPH,193,,,,4,,,11
23,UDE 1,,,,,,4,,,11
9,FMPH 194,FMPH,194,8,,,4,,,12
24,UDE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,DEI,,,,,,4,,,1
26,ALTERNATIVE 1,,,,,,4,,,1
10,SYN 1,SYN,1,,,,4,,,2
27,ALTERNATIVE 2,,,,,,4,,,2
28,ALTERNATIVE 3,,,,,,4,,,3
29,ALTERNATIVE 4,,,,,,4,,,3
11,SYN 2,SYN,2,10,,,4,,,4
30,ALTERNATIVE 5,,,,,,4,,,4
31,ALTERNATIVE 6,,,,,,4,,,4
32,ELECTIVE 1,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,5
34,ELECTIVE 3,,,,,,4,,,5
35,ELECTIVE 4,,,,,,4,,,6
36,ELECTIVE 5,,,,,,4,,,6
37,ELECTIVE 6,,,,,,4,,,6
12,SYN 100,SYN,100,10;11,,,4,,,7
38,ELECTIVE 7,,,,,,4,,,7
39,ELECTIVE 8,,,,,,4,,,8
40,ELECTIVE 9,,,,,,4,,,8
41,ELECTIVE 10,,,,,,4,,,9
42,ELECTIVE 11,,,,,,4,,,9
43,UD ELECTIVE,,,,,,4,,,10
44,ELECTIVE 12,,,,,,4,,,11
45,ELECTIVE 13,,,,,,4,,,12
