Curriculum,Bachelor of Science in Public Health with Concentration in Epidemiology,,,,,,,,,
Degree Plan,Bachelor of Science in Public Health with Concentration in Epidemiology/ Revelle,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,51.2299,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,BILD 1,BILD,1,,,,4,,,1
19,SBE 1,,,,,,4,,,1
2,BILD 2,BILD,2,1,,,4,,,2
20,SBE 2,,,,,,4,,,2
3,BILD 3,BILD,3,,,,4,,,3
16,MATH 11,MATH,11,12,,,5,,,4
4,FMPH 40,FMPH,40,,,,4,,,5
5,FMPH 50 / FMPH 110 1,FMPH,50,,,,4,,,5
21,FMPH 50 / FMPH 110 2,FMPH,50,,,,4,,,6
6,FMPH 101 / FMPH 102 1,FMPH,101,4;16,,,4,,,7
22,CONCENTRATION UDE 1,,,,,,4,,,7
7,USP 143,USP,143,,,,4,,,8
23,FMPH 101 / FMPH 102 2,FMPH,101,4;16,,,4,,,8
8,FMPH 120 / FMPH 130 1,FMPH,120,4,,,4,,,9
24,CONCENTRATION UDE 2,,,,,,4,,,9
25,FMPH 120 / FMPH 130 2,FMPH,120,4,,,4,,,10
26,FMPH UDE,,,,,,4,,,10
9,FMPH 193,FMPH,193,,,,4,,,11
27,UDE 1,,,,,,4,,,11
10,FMPH 194,FMPH,194,9,,,4,,,12
28,UDE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
11,MATH 10A / 20A,MATH,10A,,,,4,,,1
12,MATH 10B / 20B,MATH,10B,11,,,4,,,2
13,HUM 1,HUM,1,,,,6,,,2
29,DEI,,,,,,4,,,3
14,HUM 2,HUM,2,,,,6,,,3
15,HUM 3,HUM,3,13,,,4,,,4
30,CHEMISTRY GE,,,,,,4,,,4
17,HUM 4,HUM,4,,,,4,,,5
31,FINE ARTS GE,,,,,,4,,,5
18,HUM 5,HUM,5,,,,4,,,6
32,PHYSICS GE,,,,,,4,,,6
33,LANGUAGE 1,,,,,,5,,,7
34,ELECTIVE 1,,,,,,4,,,7
35,LANGUAGE 2,,,,,,5,,,8
36,ELECTIVE 2,,,,,,4,,,8
37,LANGUAGE 3,,,,,,5,,,9
38,ELECTIVE 3,,,,,,4,,,9
39,LANGUAGE 4,,,,,,5,,,10
40,UD ELECTIVE 1,,,,,,4,,,10
41,UD ELECTIVE 2,,,,,,4,,,11
42,ELECTIVE 4,,,,,,3,,,11
43,AHI / ELECTIVE,,,,,,4,,,12
