Curriculum,Business Psychology,,,,,,,,,
Degree Plan,Business Psychology/ Marshall,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,42.9999,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
12,NATURAL SCIENCE 1,,,,,,4,,,1
2,MATH 10B / 20B,MATH,10B,1,,,4,,,2
13,NATURAL SCIENCE 2,,,,,,4,,,2
14,NATURAL SCIENCE 3,,,,,,4,,,3
15,COMPUTER PROGRAMMING,,,,,,4,,,3
3,PSYC 60,PSYC,60,,,,4,,,4
4,MGT 16,MGT,16,,,,4,,,4
5,PSYC 70,PSYC,70,3,,,4,,,5
6,MGT 18,MGT,18,,,,4,,,6
7,PSYC 104,PSYC,104,,,,4,,,7
16,PSYC CORE 1,,,,,,4,,,7
8,PSYC 105,PSYC,105,,,,4,,,8
17,PSYC CORE 2,,,,,,4,,,8
18,BUS MGT 1,,,,,,4,,,9
19,BUS PSYC RESEARCH 1,,,,,,4,,,9
20,BUS PSYC ELECTIVE 1,,,,,,4,,,9
21,BUS MGT 2,,,,,,4,,,10
22,BUS PSYC RESEARCH 2,,,,,,4,,,10
23,BUS MGT 3,,,,,,4,,,11
24,BUS PSYC ELECTIVE 2,,,,,,4,,,11
25,BUS PSYC ELECTIVE 3,,,,,,4,,,12
26,UD PSYC ELECTIVE,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
9,DOC 1 / DEI,DOC,1,,,,4,,,1
27,GE 1,,,,,,4,,,1
10,DOC 2,DOC,2,9,,,6,,,2
28,GE 2,,,,,,4,,,2
11,DOC 3,DOC,3,10,,,6,,,3
29,GE 3,,,,,,4,,,3
30,GE 4,,,,,,4,,,4
31,ELECTIVE 1,,,,,,4,,,4
32,GE 5,,,,,,4,,,5
33,ELECTIVE 2,,,,,,4,,,5
34,ELECTIVE 3,,,,,,4,,,5
35,ELECTIVE 4,,,,,,4,,,6
36,ELECTIVE 5,,,,,,4,,,6
37,ELECTIVE 6,,,,,,4,,,6
38,UD GE 1,,,,,,4,,,7
39,ELECTIVE 7,,,,,,4,,,7
40,UD GE 2,,,,,,4,,,8
41,ELECTIVE 8,,,,,,4,,,8
42,ELECTIVE 9,,,,,,4,,,10
43,ELECTIVE 10,,,,,,4,,,11
44,ELECTIVE 11,,,,,,4,,,12
