Curriculum,,,,,,,,,,
Degree Plan,/ ERC,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,24.0103,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MMW 11,MMW,11,,,,4,,,1
6,GE 1,,,,,,4,,,1
7,GE 2,,,,,,4,,,1
8,GE 3,,,,,,4,,,1
2,MMW 12,MMW,12,,,,6,,,2
9,GE 4,,,,,,4,,,2
10,GE / DEI,,,,,,4,,,2
3,MMW 13,MMW,13,2,,,6,,,3
11,GE / MAJOR EXPLORATION / PREP 1,,,,,,4,,,3
12,GE / MAJOR EXPLORATION / PREP 2,,,,,,4,,,3
4,MMW 14 / GE 1,MMW,14,2;3,,,4,,,4
13,GE / MAJOR EXPLORATION / PREP 3,,,,,,4,,,4
14,GE / MAJOR EXPLORATION / PREP 4,,,,,,4,,,4
15,MMW 14 / GE 2,MMW,14,2;3,,,4,,,5
16,GE / MAJOR EXPLORATION / PREP 5,,,,,,4,,,5
17,GE / MAJOR EXPLORATION / PREP 6,,,,,,4,,,5
5,MMW 15,MMW,15,2;3,,,4,,,6
18,GE / MAJOR EXPLORATION / PREP 7,,,,,,4,,,6
19,GE / MAJOR EXPLORATION / PREP 8,,,,,,4,,,6
