Curriculum,Cognitive Science with a Specialization in Design and Interaction
Degree Plan,Cognitive Science with a Specialization in Design and Interaction/ ERC
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,30.2501
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 10A / 20A,MATH,10A,,,,4,,,1
2,COGS 10 / DSGN 1,COGS,10,,,,4,,,1
3,MATH 10B / 20B,MATH,10B,1,,,4,,,2
4,COGS 1,COGS,1,,,,4,,,2
5,MATH 10C IF CHOOSING MATH 10 SERIES,MATH,10C,3,,,4,,,3
6,COGS 13,COGS,13,,,,4,,,3
7,MATH 18,MATH,18,,,,4,,,4
8,COGS 17,COGS,17,,,,4,,,4
9,COGS 14A,COGS,14A,,,,4,,,5
10,COGS 14B,COGS,14B,9,,,4,,,6
11,COGS 18 / CSE (8A / 11),COGS,18,,,,4,,,6
12,COGS 108,COGS,108,11,,,4,,,7
13,COGS 107A,COGS,107A,8,,,4,,,7
21,COGS (101A / 101B / 101C) 1,,,,,,4,,,8
14,COGS 107B,COGS,107B,13,,,4,,,8
22,COGS (101A / 101B / 101C) 2,,,,,,4,,,9
15,COGS 100,COGS,100,2,,,4,,,9
23,COGS UD ELECTIVE 1,,,,,,4,,,10
24,COGS UD ELECTIVE 2,,,,,,4,,,10
25,COGS UD ELECTIVE 3,,,,,,4,,,11
26,COGS UD ELECTIVE 4,,,,,,4,,,11
27,COGS UD ELECTIVE 5,,,,,,4,,,12
28,COGS UD ELECTIVE 6,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
16,MMW 11,MMW,11,,,,4,,,1
29,GE 1,,,,,,4,,,1
17,MMW 12,MMW,12,,,,6,,,2
18,MMW 13,MMW,13,17,,,6,,,3
19,MMW 14 / GE 1,MMW,14,17;18,,,4,,,4
30,GE 2,,,,,,4,,,4
31,MMW 14 / GE 2,MMW,14,17;18,,,4,,,5
32,ELECTIVE 1,,,,,,4,,,5
33,GE 3,,,,,,4,,,5
20,MMW 15,MMW,15,17;18,,,4,,,6
34,GE 4,,,,,,4,,,6
35,GE 5,,,,,,4,,,7
36,GE / DEI,,,,,,4,,,7
37,GE 6,,,,,,4,,,8
38,ELECTIVE 2,,,,,,4,,,8
39,GE 7,,,,,,4,,,9
40,ELECTIVE 3,,,,,,4,,,9
41,UD ELECTIVE,,,,,,4,,,10
42,ELECTIVE 4,,,,,,4,,,10
43,ELECTIVE 5,,,,,,4,,,11
44,ELECTIVE 6,,,,,,4,,,12
