Curriculum,Classical Studies,,,,,,,,,
Degree Plan,Classical Studies/ Seventh,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,16.1200,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,LTGK 1,LTGK,1,,,,4,,,1
2,LTWL 19A / MMW 11,LTWL,19A,,,,4,,,1
3,LTLA 1,LTLA,1,,,,4,,,1
4,LTWL 19B / HUM 1 / MMW 12,LTWL,19B,,,,4,,,2
5,LTGK 2,LTGK,2,1,,,4,,,2
6,LTLA 2,LTLA,2,3,,,4,,,2
7,LTWL 19C / HUM 2,LTWL,19C,,,,4,,,3
8,LTGK 3,LTGK,3,5,,,4,,,3
9,LTLA 3,LTLA,3,6,,,4,,,3
13,UD LTGK / UD LTLA 1,,,,,,4,,,4
14,CLAS UD ELECTIVE 1,,,,,,4,,,5
15,UD LTGK / UD LTLA 2,,,,,,4,,,5
16,UD LTGK / UD LTLA 3,,,,,,4,,,6
17,UD LTGK / UD LTLA 4,,,,,,4,,,7
18,UD LTGK / UD LTLA 5,,,,,,4,,,8
19,CLAS UD ELECTIVE 2,,,,,,4,,,8
20,UD LTGK / UD LTLA 6,,,,,,4,,,9
21,UD LTGK / UD LTLA 7,,,,,,4,,,10
22,CLAS UD ELECTIVE 3,,,,,,4,,,11
23,UD LTGK / UD LTLA 8,,,,,,4,,,11
24,UD LTGK / UD LTLA 9,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
25,ALTERNATIVE 1,,,,,,4,,,1
10,SYN 1,SYN,1,,,,4,,,2
26,ALTERNATIVE 2,,,,,,4,,,3
27,ALTERNATIVE 3,,,,,,4,,,4
11,SYN 2,SYN,2,10,,,4,,,4
28,ELECTIVE 1,,,,,,4,,,4
29,ALTERNATIVE 4,,,,,,4,,,5
30,ELECTIVE 2,,,,,,4,,,5
31,ELECTIVE 3,,,,,,4,,,5
32,ALTERNATIVE 5,,,,,,4,,,6
33,DEI,,,,,,4,,,6
34,ELECTIVE 4,,,,,,4,,,6
35,ALTERNATIVE 6,,,,,,4,,,7
36,ELECTIVE 5,,,,,,4,,,7
37,ELECTIVE 6,,,,,,4,,,7
38,ELECTIVE 7,,,,,,4,,,8
39,ALTERNATIVE 7,,,,,,4,,,8
40,ALTERNATIVE 8,,,,,,4,,,9
12,SYN 100,SYN,100,10;11,,,4,,,9
41,HIGH - IMPACT,,,,,,4,,,10
42,ELECTIVE 8,,,,,,4,,,10
43,UD ELECTIVE 1,,,,,,4,,,11
44,UD ELECTIVE 2,,,,,,4,,,12
45,ELECTIVE 9,,,,,,4,,,12
