Curriculum,Engineering Physics
Degree Plan,Engineering Physics/ Seventh
Institution,"University of California, San Diego"
Degree Type,BS
System Type,Quarter
CIP,14.1201
Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
2,ECE 15,ECE,15,,,,4,,,1
3,MATH 18,MATH,18,,,,4,,,1
5,ECE 25,ECE,25,,,,4,,,2
4,MATH 20B,MATH,20B,1,,,4,,,2
6,PHYS 4A,PHYS,4A,1,,,4,,,2
7,MATH 20C,MATH,20C,4,,,4,,,3
9,PHYS 4B,PHYS,4B,6;4,,,4,,,3
8,ECE 30,ECE,30,2;5,,,4,,,3
10,ECE 35,ECE,35,3;1;4,,,4,,,4
11,PHYS 4C,PHYS,4C,6;9;1;4;7;3,,,4,,,4
12,MATH 20E,MATH,20E,3;7,,,4,,,4
13,PHYS 2CL,PHYS,2CL,6;11,,,2,,,5
14,PHYS 4D,PHYS,4D,6;9;11;1;4;7;12;3,,,4,,,5
15,MATH 20D,MATH,20D,7,,,4,,,5
16,ECE 45,ECE,45,10,,,4,,,5
17,ECE 65,ECE,65,10,,,4,,,6
18,CHEM 6A,CHEM,6A,,,,4,,,6
19,PHYS 4E,PHYS,4E,6;9;11;14;1;4;7;15;12;3,,,4,,,6
20,PHYS 110A,PHYS,110A,6;9;11;14;1;4;7;15;12;3,,,4,,,7
21,ECE 100,ECE,100,16;17,,,4,,,7
22,PHYS 2DL,PHYS,2DL,13,,,2,,,7
23,MATH 110,MATH,110,3;15;12,,,4,,,7
24,ECE 101,ECE,101,16,,,4,,,8
25,ECE 107,ECE,107,6;11;9;16,,,4,,,8
26,ECE 102,ECE,102,17;21,,,4,,,8
27,ECE 109,ECE,109,1;4;7;15;3,,,4,,,9
28,PHYS 130A,PHYS,130A,6;9;11;14;19;20,,,4,,,9
29,ECE 103,ECE,103,17;19;14,,,4,,,9
30,PHYS 130B,PHYS,130B,28,,,4,,,10
31,PHYS 140A,PHYS,140A,28,,,4,,,10
35,DEPTH 1,,,,,,4,,,10
36,PROFESSIONAL ELECTIVE 1,,,,,,4,,,11
37,TECHNICAL ELECTIVE 1,,,,,,4,,,11
38,ENGINEERING DESIGN,,,,,,4,,,11
39,DEPTH 2,,,,,,4,,,11
40,TECHNICAL ELECTIVE 2,,,,,,4,,,12
41,PROFESSIONAL ELECTIVE 2,,,,,,4,,,12
42,PROFESSIONAL ELECTIVE 3,,,,,,4,,,12
Additional Courses
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
43,ALTERNATIVE 1,,,,,,4,,,1
32,SYN 1,SYN,1,,,,4,,,2
44,ALTERNATIVE 2,,,,,,4,,,3
33,SYN 2,SYN,2,32,,,4,,,4
45,ALTERNATIVE 3,,,,,,4,,,5
46,ALTERNATIVE 4,,,,,,4,,,6
34,SYN 100,SYN,100,32;33,,,4,,,7
47,ALTERNATIVE 5,,,,,,4,,,8
48,ALTERNATIVE 6,,,,,,4,,,9
49,HIGH - IMPACT,,,,,,4,,,10
50,DEI,,,,,,4,,,12
