Curriculum,Ethnic Studies,,,,,,,,,
Degree Plan,Ethnic Studies/ Warren,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BA,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,05.0299,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,ETHN 1,ETHN,1,,,,4,,,1
2,ETHN 2,ETHN,2,,,,4,,,2
10,ETHN UD 1,,,,,,4,,,3
11,ETHN UD 2,,,,,,4,,,4
12,ETHN UD 3,,,,,,4,,,5
13,ETHN UD 4,,,,,,4,,,6
14,GE / DEI,,,,,,4,,,6
15,ETHN UD 5,,,,,,4,,,7
16,ETHN UD 6,,,,,,4,,,7
17,ETHN UD 7,,,,,,4,,,8
18,ETHN UD 8,,,,,,4,,,9
19,ETHN UD 9,,,,,,4,,,10
3,ETHN 100A,ETHN,100A,1,,,4,,,10
20,ETHN UD 10,,,,,,4,,,11
4,ETHN 100B,ETHN,100B,3,,,4,,,11
5,ETHN 100C,ETHN,100C,3;4,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
6,WCWP 10A,WCWP,10A,,,,4,,,1
21,GE 1,,,,,,4,,,1
7,WCWP 10B,WCWP,10B,6,,,4,,,2
22,GE 2,,,,,,4,,,2
23,ELECTIVE 1,,,,,,4,,,2
8,PHIL / POLI 27,POLI,27,6;7,,,4,,,3
24,GE 3,,,,,,4,,,3
25,ELECTIVE 2,,,,,,4,,,3
9,PHIL / POLI 28,POLI,28,8,,,4,,,4
26,GE 4,,,,,,4,,,4
27,ELECTIVE 3,,,,,,4,,,4
28,GE 5,,,,,,4,,,5
29,GE 6,,,,,,4,,,5
30,ELECTIVE 4,,,,,,4,,,5
31,ELECTIVE 5,,,,,,4,,,6
32,ELECTIVE 6,,,,,,4,,,6
33,GE 7,,,,,,4,,,7
34,ELECTIVE 7,,,,,,4,,,7
35,GE 8,,,,,,4,,,8
36,ELECTIVE 8,,,,,,4,,,8
37,ELECTIVE 9,,,,,,4,,,8
38,GE 9,,,,,,4,,,9
39,GE 10,,,,,,4,,,9
40,ELECTIVE 10,,,,,,4,,,9
41,GE 11,,,,,,4,,,10
42,GE 12,,,,,,4,,,10
43,GE 13,,,,,,4,,,11
44,ELECTIVE 11,,,,,,4,,,12
45,ELECTIVE 12,,,,,,4,,,12
