Curriculum,Physics-Biophysics,,,,,,,,,
Degree Plan,Physics-Biophysics/ Sixth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,40.0899,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,MATH 20A,MATH,20A,,,,4,,,1
35,PROGRAMMING,,,,,,4,,,1
2,MATH 18,MATH,18,,,,4,,,1
3,MATH 20B,MATH,20B,1,,,4,,,2
4,BILD 1,BILD,1,,,,4,,,2
5,PHYS 4A,PHYS,4A,1,,,4,,,2
7,BILD 2,BILD,2,4,,,4,,,3
8,PHYS 4B,PHYS,4B,5;3,,,4,,,3
6,MATH 20C,MATH,20C,3,,,4,,,3
11,PHYS 4C,PHYS,4C,5;8;1;3;6;2,,,4,,,4
10,MATH 20E,MATH,20E,2;6,,,4,,,4
9,CHEM 6A,CHEM,6A,,,,4,,,4
13,MATH 20D,MATH,20D,6,,,4,,,5
14,PHYS 4D,PHYS,4D,5;8;11;1;3;6;10;2,,,4,,,5
15,PHYS 2CL,PHYS,2CL,5;11,,,2,,,5
12,CHEM 6B,CHEM,6B,9;1,,,4,,,5
18,PHYS 4E,PHYS,4E,5;8;11;14;1;3;6;13;10;2,,,4,,,6
17,CHEM 7L,CHEM,7L,12,,,4,,,6
16,CHEM 6C,CHEM,6C,12,,,4,,,6
19,PHYS 2DL,PHYS,2DL,15,,,2,,,7
20,PHYS 100A,PHYS,100A,5;8;11;14;1;3;6;13;10;2,,,4,,,7
21,PHYS 110A,PHYS,110A,5;8;11;14;1;3;6;13;10;2,,,4,,,7
22,CHEM 40A,CHEM,40A,12,,,4,,,8
23,PHYS 105A,PHYS,105A,8;11;14;18;1;3;6;13;10;2,,,4,,,8
24,PHYS 100B,PHYS,100B,20;1;3;6;13;10;2,,,4,,,8
25,PHYS 130A,PHYS,130A,5;8;11;14;18;20;21,,,4,,,9
26,PHYS 120,PHYS,120,5;8;11;15,,,5,,,9
27,PHYS 140A,PHYS,140A,25,,,4,,,10
28,PHYS 130B,PHYS,130B,25;24,,,4,,,10
29,PHYS 175,PHYS,175,20;21,,,4,,,10
30,PHYS 140B,PHYS,140B,27;28,,,4,,,11
36,PHYS UD DEPTH,,,,,,4,,,11
37,PHYS UD RE 1,,,,,,4,,,11
38,PHYS UD LAB,,,,,,4,,,12
39,PHYS UD RE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
31,CAT 1,CAT,1,,,,4,,,1
32,CAT 2,CAT,2,31,,,6,,,2
33,CAT 3,CAT,3,32,,,6,,,3
40,GE / DEI,,,,,,4,,,4
41,GE 1,,,,,,4,,,6
42,GE 2,,,,,,4,,,7
34,CAT 125 / EXPERIENTIAL LEARNING / PRACTICUM 1,CAT,125,,,,4,,,8
43,CAT 125 / EXPERIENTIAL LEARNING / PRACTICUM 2,CAT,125,,,,4,,,9
44,GE 3,,,,,,4,,,9
45,GE 4,,,,,,4,,,10
46,GE 5,,,,,,4,,,12
