Curriculum,Microbiology,,,,,,,,,
Degree Plan,Microbiology/ Eighth,,,,,,,,,
Institution,"University of California, San Diego",,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,Quarter,,,,,,,,,
CIP,26.0502,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
2,CHEM 6A,CHEM,6A,,,,4,,,1
3,MATH 10A / 20A,MATH,10A,,,,4,,,1
1,BILD 4,BILD,4,,,,2,,,1
5,CHEM 6B,CHEM,6B,2;3,,,4,,,2
6,MATH 10B / 20B,MATH,10B,3,,,4,,,2
4,BILD 1,BILD,1,,,,4,,,2
7,CHEM 6C,CHEM,6C,5,,,4,,,3
8,CHEM 7L,CHEM,7L,5,,,4,,,3
9,MATH 11,MATH,11,6,,,5,,,3
13,CHEM 40A,CHEM,40A,5,,,4,,,4
10,PHYS 1A,PHYS,1A,3,,,3,,,4
11,PHYS 1AL,PHYS,1AL,3,,,2,,,4
12,BILD 3,BILD,3,,,,4,,,4
17,CHEM 40B,CHEM,40B,13,,,4,,,5
14,PHYS 1B,PHYS,1B,6;10,,,3,,,5
15,PHYS 1BL,PHYS,1BL,6;10;11,,,2,,,5
16,BICD 100,BICD,100,4;12,,,4,,,5
18,PHYS 1C,PHYS,1C,6;14,,,3,,,6
19,PHYS 1CL,PHYS,1CL,6;14;15,,,2,,,6
20,BIMM 100,BIMM,100,4;1;13;17,,,4,,,6
21,CHEM 43A,CHEM,43A,8;13,,,4,,,7
22,BIBC 100 / 102,BIBC,100,13;17,,,4,,,7
23,BIMM 120,BIMM,120,12;22;20,,,4,,,8
30,UD MICRO CORE 1,,,,,,4,,,8
24,BIMM 121,BIMM,121,4,,,4,,,9
31,UD MICRO CORE 2,,,,,,4,,,9
25,BIMM 122,BIMM,122,20,,,4,,,10
32,UD MICRO CORE 3,,,,,,4,,,10
33,UD BIOLOGY LAB,,,,,,4,,,11
34,UD BIOLOGY ELECTIVE 1,,,,,,4,,,11
35,UD BIOLOGY ELECTIVE 2,,,,,,4,,,12
Additional Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
36,DEI,,,,,,4,,,1
26,CCE 1,CCE,1,,,,4,,,2
37,BREADTH GE 1,,,,,,4,,,3
27,CCE 2,CCE,2,,,,4,,,4
28,CCE 3,CCE,3,,,,4,,,6
38,BREADTH GE 2,,,,,,4,,,6
39,BREADTH GE 3,,,,,,4,,,7
40,BREADTH GE 4,,,,,,4,,,7
41,BREADTH GE 5,,,,,,4,,,8
42,BREADTH GE 6,,,,,,4,,,8
29,CCE 120,CCE,120,,,,4,,,9
43,ELECTIVE 1,,,,,,4,,,10
44,ELECTIVE 2,,,,,,4,,,10
45,UD ELECTIVE 1,,,,,,4,,,11
46,ELECTIVE 3,,,,,,2,,,11
47,UD ELECTIVE 2,,,,,,4,,,12
48,ELECTIVE 4,,,,,,4,,,12
